Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,15,1,ANTICIPO,03/04/2013 00:00,14,25/03/2013 00:00,03/05/2013 00:00,SN        ,01/04/2013 00:00,DG/DCP/001R/13 ,03/04/2013 00:00,,11/03/2013 00:00,19/04/2013 00:00
2,15,2,ANTICIPO,03/04/2013 00:00,14,25/03/2013 00:00,03/05/2013 00:00,SN        ,01/04/2013 00:00,DG/DCP/002R/13 ,03/04/2013 00:00,,11/03/2013 00:00,19/04/2013 00:00
3,42,1,ANTICIPO,03/05/2013 00:00,9,24/04/2013 00:00,22/09/2013 00:00,SN        ,25/04/2013 00:00,DG/DCP/003/12  ,03/05/2013 00:00,,15/04/2013 00:00,13/09/2013 00:00
4,9,1,SITIO,12/04/2013 00:00,56,08/04/2013 00:00,05/10/2013 00:00,S/N RECAL ,08/04/2013 00:00,CT/REC/007/13  ,12/04/2013 00:00,AUTOR RECALED DE SITIO ORIGINAL CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALEND EN EXPEDIENTE UNITARIO,11/02/2013 00:00,10/08/2013 00:00
5,30,1,SITIO,18/04/2013 00:00,32,12/04/2013 00:00,13/08/2013 00:00,S/N RECAL ,18/04/2013 00:00,CT/REC/009/13  ,18/04/2013 00:00,AUTOR DE RECALEND POR SITIO ORIGINAL CON DOCUMENTACIÓN ADJUNTA ORIGINAL DE LA RECAL POR SITO EN EXPEDIENTE UNITARIO,11/03/2013 00:00,12/07/2013 00:00
7,65,1,ANTICIPO,22/05/2013 00:00,4,17/05/2013 00:00,31/07/2013 00:00,SN        ,17/05/2013 00:00,DG/DCP/004/13  ,22/05/2013 00:00,,13/05/2013 00:00,27/07/2013 00:00
9,31,1,ANTICIPO,14/06/2013 00:00,81,07/06/2013 00:00,03/12/2013 00:00,SN        ,07/06/2013 00:00,DG/DCP/005/13  ,14/06/2013 00:00,,18/03/2013 00:00,14/09/2013 00:00
10,94,1,ANTICIPO,24/06/2013 00:00,10,20/06/2013 00:00,10/09/2013 00:00,SN        ,20/06/2013 00:00,DG/DCP/006/13  ,24/06/2013 00:00,,10/06/2013 00:00,31/08/2013 00:00
12,117,1,ANTICIPO,05/07/2013 00:00,3,27/06/2013 00:00,17/09/2013 00:00,SN        ,01/07/2013 00:00,DG/DCP/007/13  ,05/07/2013 00:00,,24/06/2013 00:00,14/09/2013 00:00
14,109,1,ANTICIPO,05/07/2013 00:00,5,25/06/2013 00:00,25/09/2013 00:00,SN        ,28/06/2013 00:00,DG/DCP/007/2013,05/07/2013 00:00,,20/06/2013 00:00,20/09/2013 00:00
