Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe
1,1,1,PRELIMINARES PAVIMENTO,21606.91
2,1,2,VEGETACION-PAVIMENTO,55791.6
3,1,3,EXCAVACION-PAVIMENTO,106498.94
4,1,4,ACARREOS EN CAMION-PAVIMENTOS,314961.65
5,1,5,TERRACERIAS-PAVIMENTO,1422473.92
6,1,6,BASES Y SUB BASES-PAVIMENTO,790903.12
7,1,7,PAVIMENTOS Y REPOSICION DE PAVIMENTOS-PAVIMENTO,4461194.43
8,1,8,TRABAJOS COMPLEMENTARIOS-PAVIMENTO,9748.56
9,1,9,LIMPIEZA-PAVIMENTO,16319.6
10,1,10,PRELIMINARES-BANQUETAS-IMAGEN URBANA,33500.2
11,1,11,EXCAVACIONES-BANQUETAS-IMAGEN URBANA,40381.44
12,1,12,ACARREOS EN CAMION-BANQUETAS IMAGEN URBANA,151612.03
13,1,13,TERRACERIAS-BANQUETAS IMAGEN URBANA,38431.09
14,1,14,BASES Y SUB BASES-BANQUETAS IMAGEN URBANA,507140.69
15,1,15,PAVIMENTOS-BANQUETAS IMAGEN URBANA,3467154.91
16,1,16,LIMPIEZA EN BANQUETAS-BANQUETAS IMAGEN URBANA,138200.41
17,1,17,VEGETACION-BANQUETAS IMAGEN URBANA,84362.47
18,1,18,PRELIMINARES-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE LATERAL SUR,1125.57
19,1,19,EXCAVACIONES-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE,12111.96
20,1,20,ACARREOS EN CAMION-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE,38884.82
21,1,21,RELLENOS-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE,70540.94
22,1,22,MATERIALES-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE,93696.5
23,1,23,INSTALACIONES-REPOSICION Y/O REHABILITACION DE LINEAS DE AGUA POTABLE,21435.04
24,1,24,PRELIMINARES-REHABILITACION Y/O REPOSICION DE DESCARGAS DOMICILIARIAS,816
25,1,25,EXCAVACIONES-REHABILITACION Y/O REPOSICION DE DESCARGAS DOMICILIARIAS LATERALES SUR,10515.46
26,1,26,ACARREOS EN CAMION-REHABILITACION Y/O REPOSICION DE DESCARGAS DOMICILIARIAS,33759.31
27,1,27,RELLENOS-REHABILITACION Y/O REPOSICION DE DESCARGAS DOMICILIARIAS,47079.2
28,1,28,MATERIALES-REHABILITACION Y/O REPOSICION DE DESCARGAS DOMICILIARIAS,45451.8
29,1,29,INSTALACIONES-REHABILITACION Y/O REPOSICION DE DESACARGAS DOMICILIARIAS,29263.54
30,1,30,EXCAVACIONES-REHABILIATCION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,29298.44
31,1,31,ACARREOS EN CAMION-REHABILITACION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,88442.55
32,1,32,RELLENOS-REHABILITACION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,218364.86
33,1,33,MATERIALES-REHABILITACION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,231078.59
34,1,34,INSTALACIONES-REHABILIATCION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,39289.65
35,1,35,POZOS DE VISITA-REHABILITACION Y/O REPOSICION DE LINEA DE DRENAJE SANITARIO,78308.9
36,1,36,SEÑALAMIENTO DE OPERACION-SEÑALES RESTRICTIVAS,5798.96
37,1,37,SEÑALAMIENTO DE OPERACION-SEÑALES INFORMATIVAS,846.52
38,1,38,SEÑALAMIENTO DE OPERACION-SEÑALES DIVERSAS,372.76
39,1,39,VIALETAS Y BOTONES,111292
40,1,40,SEÑALAMIENTO DE PROTECCION DE OBRA,39208.52
41,1,41,CONCEPTOS VARIOS,292870.74
42,1,42,CANALIZACIÓN TELMEX,167333.28
43,1,43,CAMARAS VIGILANCIA,1072892
44,1,44,ALUMBRADO PUBLICO,362857.39
45,1,45,ACOMETIDA SUBTERRANEA,57281.12
46,1,46,SUBESTACION,74578.94
47,1,47,CONTROL,63404.18
48,1,48,FUERA DE CATALOGO,0
49,1,49,RECONSIDERACION DE P.U.F.C.,0
50,2,1,PRESUPUESTO,927684.57
51,3,1,PRELIMINARES - PAVIMENTO,4915.46
52,3,2,VEGETACION - PAVIMENTO,19714.63
53,3,3,EXCAVACION - PAVIMENTO,54135.64
54,3,4,ACARREOS EN CAMION - PAVIMENTO,187551.51
55,3,5,TERRACERIAS - PAVIMENTO,85519.16
56,3,6,BASES Y SUB BASES - PAVIMENTO,4502.69
57,3,7,PAVIMENTOS Y REPOSICION DE PAVIMENTOS - PAVIMENTO,111748.52
