Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
50,5,925,3,FEDERAL
46,3,380,1,MUNICIPAL
21,6,370,1,MUNICIPAL
42,3,902,3,FEDERAL
20,7,951,3,FEDERAL
48,5,916,3,FEDERAL
68,12,814,2,ESTATAL
58,5,926,3,FEDERAL
78,3,332,1,MUNICIPAL
35,3,627,5,RAMO 33 FONDO 1
81,10,344,1,MUNICIPAL
49,3,489,1,PROY. MPAL.
7,3,800,2,ESTATAL
3,3,912,3,FEDERACIÓN
5,4,221,1,MUNICIPAL
52,5,816,2,ESTATAL
51,5,398,1,MUNICIPAL
70,11,388,1,MUNICIPAL
83,3,390,1,MUNICIPAL
72,12,606,5,RAMO 33 FONDO I
2,2,236,4,FIDOC
76,1,385,1,MUNICIPAL
30,3,628,5,RAMO 33 FONDO I
28,9,914,3,FEDERAL
63,16,922,3,FEDERAL
84,3,323,1,MUNICIPAL
32,3,917,3,FEDERAL
43,5,920,3,FEDERAL
54,9,397,1,MUNICIPAL
62,16,923,3,FEDERAL
60,5,304,1,MUNICIPAL
44,14,395,1,MUNICIPAL
53,5,300,1,MIGRANTES
65,12,650,5,RAMO 33 FI
55,9,815,2,ESTATAL
25,8,366,1,MUNICIPAL
64,12,927,3,FEDERAL
14,3,624,5,RAMO 33 FONDO I
27,9,812,2,ESTATAL
80,3,366,1,MUNICIPAL
47,3,916,3,FEDERAL
77,1,353,1,MUNICIPAL
57,15,919,3,FEDERAL
61,16,921,3,FEDERAL
1,1,701,9,RAMO 33 FONDO II
13,3,316,1,MUNICIPAL
34,3,623,5,RAMO 33 FONDO I
38,3,617,5,RAMO 33 FONDO I
8,3,326,1,MUNICIPAL
45,5,602,5,RAMO 33 FONDO I
