Id_Prorroga,Id_Contrato,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
6,15,13,17/05/2013 00:00,33.33,SE INGRESA AUTORIZACION ORIGINAL DE 1RA PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,02/05/2013 00:00,01  PR/039/13,02/05/2013 00:00,,03/05/2013 00:00
8,43,20,15/06/2013 00:00,50,SE ANEXA COPIA DE AUTORIZACION DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EXPEDIENTE UNITARIO,S/N PRORRO,22/05/2013 00:00,01 PR/041/13,22/05/2013 00:00,,25/05/2013 00:00
11,33,33,02/08/2013 00:00,40.24,,S/N,25/06/2013 00:00,S/N PRORROGA1,25/06/2013 00:00,,29/06/2013 00:00
13,52,13,20/07/2013 00:00,19.12,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACIÓN ADJUNTA ORIGINAL DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,01/07/2013 00:00,01 CT/PR/058/13,01/07/2013 00:00,,06/07/2013 00:00
19,107,14,02/11/2013 00:00,11.38,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACIÓN ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,19/07/2013 00:00,01 PR/073/13,19/07/2013 00:00,,18/10/2013 00:00
20,48,34,10/08/2013 00:00,55.74,SE ANEXA AUTOTIZACION DE 2A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,25/07/2013 00:00,02 PR/080/13,25/07/2013 00:00,,06/07/2013 00:00
21,94,19,30/09/2013 00:00,23.17,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,25/07/2013 00:00,01 PR/078/13,25/07/2013 00:00,,10/09/2013 00:00
22,58,20,17/08/2013 00:00,24.39,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRG,19/07/2013 00:00,01 PR/074/13,19/07/2013 00:00,,27/07/2013 00:00
23,54,20,31/08/2013 00:00,20.83,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,25/07/2013 00:00,01 PR/079/13,25/07/2013 00:00,,10/08/2013 00:00
24,57,13,10/08/2013 00:00,15.85,SE ANEXA AUTORIZACION 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO ,S/N PRORRO,05/07/2013 00:00,01 PR/064/13,05/07/2013 00:00,,27/07/2013 00:00
