Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
44,10,614,5,RAMO 33 F-I
62,10,829,2,ESTATAL
17,2,300,1,MUNICIPAL
64,2,311,1,MUNICIPAL
22,11,648,5,RAMO 33 F-I
40,10,600,2,ESTATAL
43,2,3006,1,MUNICIPAL
50,12,3057,1,MUNICIPAL
56,2,9017,3,FEDERAL
21,5,362,1,MUNICIPAL
49,12,805,2,ESTATAL
65,15,2210,1,OBRA PUBLICA
6,2,312,1,MUNICIPAL
15,8,331,1,MUNICIPAL
9,3,302,1,MUNICIPAL
29,12,824,2,ESTATAL
4,2,0,3,PAV Y ALUMBRADO FRACC CD INDUSTRIAL PARQUE PIEL
27,12,9011,3,FEDERAL
25,2,9013,3,FEDERAL
36,10,913,3,FEDERAL
75,2,337,1,MUNICIPAL ESCALATORIAS
58,20,352,2,ESTATAL
28,13,3044,1,MUNICIPAL
24,8,330,1,MUNICIPAL
67,18,622,5,COMEDORES COMUNITARIOS
54,15,905,3,FEDERAL
73,16,600,5,RAMO 33-I
7,2,316,1,MUNICIPAL
5,2,607,5,RAMO 33 F-I
34,2,3043,1,MUNICIPAL
61,7,300,1,MUNICIPAL
11,5,349,1,MUNICIPAL
32,2,323,1,MUNICIPAL
71,16,342,1,MUNICIPAL
74,16,333,1,MUNICIPAL
47,10,3046,1,MUNICIPAL
46,10,9014,3,FEDERAL
31,14,0,1,MUNICIPAL
48,16,703,9,RAMO 33 F-II
38,16,343,1,MUNICIPAL
60,7,9015,3,FEDERAL
51,19,333,1,MUNICIPAL
12,2,900,3,FEDERAL
23,5,351,1,MUNICIPAL
41,12,3045,1,MUNICIPAL
66,15,606,5,RAMO 33 F-I
72,2,945,3,FEDERAL
14,7,3040,1,MUNICIPAL
26,4,356,1,MUNICIPAL
69,7,363,1,REHABILITACION Y EQUIPAMIENTO DEL TEATRO MARIA GRE
52,2,317,1,MUNICIPAL
18,7,932,3,FEDERAL
45,18,600,5,RAMO 33 F-I
30,12,324,1,MUNICIPAL
16,2,315,1,MUNICIPAL
70,5,321,1,PROYECTO DE AMPLIACION  Y TRANSPORTE DE LEON
10,4,357,1,MUNICIPAL
35,15,3043,1,MUNICIPAL
63,15,302,1,MUNICIPAL
39,16,358,1,MUNICIPAL
55,10,9018,3,FEDERAL
68,18,655,5,COMEDORES COMUNITARIOS
33,15,602,5,RAMO 33 F-I
57,10,828,2,ESTATAL
53,2,313,1,MUNICIPAL
42,17,3042,1,MUNICIPAL
20,10,341,1,MUNCIPAL
13,6,309,1,MUNICIPAL
59,10,825,2,ESTATAL
8,2,318,1,MUNICIPAL
19,9,337,1,MUNICIPAL
