Id_Prorroga,Id_Contrato,No_Prorroga,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
3,3,1,20,18/05/2015 00:00,24.39,SE ANEXA AUTORIZACION ORIGINAL DE 1A PRORROGA  CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,02/03/2015 00:00,01 PR/044/15,02/03/2015 00:00,,27/04/2015 00:00
7,7,1,20,02/05/2015 00:00,37.04,,S/N,04/04/2015 00:00,PRORROGA 01,06/04/2015 00:00,,11/04/2015 00:00
8,8,1,33,15/05/2015 00:00,61.11,,S/N,07/04/2015 00:00,PRORROGA01,09/04/2015 00:00,,11/04/2015 00:00
13,7,2,20,23/05/2015 00:00,37.04,,S/N,28/03/2015 00:00,PRORROGA02,30/04/2015 00:00,,02/05/2015 00:00
16,15,1,42,16/05/2015 00:00,107.69,SE ANEXA AUTORIZACION ORIGINAL DE 2A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,20/04/2015 00:00,02 PR/078/15,20/04/2015 00:00,,03/04/2015 00:00
25,15,2,6,23/05/2015 00:00,15.38,SE ANEXA AUTORIZACION ORIGINAL DE 3A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,15/05/2015 00:00,03 PR/098/15,15/05/2015 00:00,,16/05/2015 00:00
29,31,1,9526,20/07/2041 00:00,17641,,S/N,17/06/2015 00:00,PRORROGA01,19/06/2015 00:00,,20/06/2015 00:00
30,52,1,13,08/08/2015 00:00,15.85,SE ANEXA AUTORIZACION DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,01/06/2015 00:00,01 PR/112/15,01/06/2015 00:00,,25/07/2015 00:00
31,48,1,-360,11/07/2015 00:00,-85.71,SE ANEXA AUORIZACION ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,09/06/2015 00:00,01 PR/123/15,09/06/2015 00:00,,04/07/2016 00:00
32,76,1,4,08/09/2015 00:00,3.64,SE ANEXA AUTORIZACION ORIGINAL DE 1A PRORROGA CON DOPCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,08/06/2015 00:00,01 PR/121/15,08/06/2015 00:00,,03/09/2015 00:00
33,44,1,6,17/08/2015 00:00,7.32,SE ANEXA AUTORIZACION ORIGINAL DE 1A PRORROGA CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE PRORROGA EN EL EXPEDIENTE UNITARIO,S/N PRORRO,08/06/2015 00:00,01 PR/120/15,08/06/2015 00:00,,10/08/2015 00:00
