Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,48,DGOP/CT/020/15,17/06/2015 00:00,,DGOP/CT/020/15,14/08/2015 00:00,,07/09/2015 00:00,17/06/2015 00:00,14/08/2015 00:00
2,30,DGOP/CT/026/15,17/08/2015 00:00,,DGOP/CT/026/15,02/09/2015 00:00,,11/09/2015 00:00,17/08/2015 00:00,02/09/2015 00:00
3,119,DGOP/CT/029/15,26/08/2015 00:00,,DGOP/CT/029/15,07/09/2015 00:00,,09/12/2015 00:00,26/08/2015 00:00,07/09/2015 00:00
4,151,DGOP/CT/033/15,28/08/2015 00:00,,DGOP/CT/033/15,19/10/2015 00:00,,12/12/2015 00:00,28/08/2015 00:00,19/10/2015 00:00
5,82,PROY/1166/2015,24/08/2015 00:00,,PROY/0323/16,07/03/2016 00:00,,15/04/2016 00:00,24/08/2015 00:00,07/03/2016 00:00
7,19,DGOP/CT/007/15,17/03/2015 00:00,,DGOP/CT/07/15,05/08/2015 00:00,,19/10/2015 00:00,17/03/2015 00:00,05/08/2015 00:00
8,109,DGOP/CT/044/15,06/11/2015 00:00,,DGOP/CT/044/15,08/02/2016 00:00,,30/04/2016 00:00,06/11/2015 00:00,08/02/2016 00:00
9,168,DGOP/CT/046/15,09/11/2015 00:00,,DGOP/CT/046/15,02/12/2015 00:00,,14/12/2015 00:00,09/11/2015 00:00,02/12/2015 00:00
10,171,DGOP/CT/049/15,13/11/2015 00:00,,DGOP/CT/049/15,15/12/2015 00:00,,31/12/2015 00:00,13/11/2015 00:00,15/12/2015 00:00
11,95,DGOP/CT/041/15,15/10/2015 00:00,,DGOP/CT/041/15,28/03/2016 00:00,,26/08/2016 00:00,15/10/2015 00:00,28/03/2016 00:00
12,91,DGOP/CT/037/15,08/10/2015 00:00,,DGOP/CT/037/15,08/02/2016 00:00,,01/06/2016 00:00,08/10/2015 00:00,08/02/2016 00:00
13,96,DGOP/CT/038/15,08/10/2015 00:00,,DGOP/CT/038/15,08/02/2016 00:00,,03/06/2016 00:00,08/10/2015 00:00,08/02/2016 00:00
14,97,DGOP/CT/039/15,08/10/2015 00:00,,DGOP/CT/039/15,08/02/2016 00:00,,01/06/2016 00:00,08/10/2015 00:00,08/02/2016 00:00
