Id_Prorroga,Id_Contrato,No_Prorroga,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
1,48,1,31,27/06/2017 00:00,57,"tramites ante instituto de ecología del estado, por estar en zona natural protegida",sin numero,22/05/2017 00:00,DGOP/ML/0863/2017,23/05/2017 00:00,no aplica,27/05/2017 00:00
2,49,1,31,27/06/2017 00:00,57,TRAMITE ANTE EL IE DEL ESTADO,SIN NUMERO,22/05/2017 00:00,DGOP/ML/863/2017,23/05/2017 00:00,NINGUNA,27/05/2017 00:00
3,50,1,31,27/06/2017 00:00,57,TRAMITES ANTE EL INSTITUTO DE ECOLOGÍA DEL ESTADO DE GUANAJUATO,SIN NUMERO,22/05/2017 00:00,DGOP/ML/0863/2017,23/05/2017 00:00,NINGUNO,27/05/2017 00:00
4,51,1,31,27/06/2017 00:00,57,TRAMITES ANTE EL IE DEL ESTADO DE GUANAJUATO POR ESTAR EN AREA NATURAL PROTEGIDA,SIN NUMERO,22/05/2017 00:00,DGOP/ML/0863/2017,23/05/2017 00:00,SIN OBSERVACIONES,27/05/2017 00:00
5,48,2,30,27/07/2017 00:00,56,"Atraso generados por los tramites ambientales al instituto de Ecología del estado, no se a dado la solicitud de autorización del Impacto ambiental ",S/N,27/06/2017 00:00,DGOP/ML/1102/2017,29/06/2017 00:00,El Instituto de Ecología requiere la firma del Secretario para que se tome como valido que es una vialidad (aun con el uso de suelo y la traza de Desarrollo Urbano),27/06/2017 00:00
6,49,2,30,27/07/2017 00:00,56,RESPUESTA A LA SOLICITUD DE AUTORIZACIÓN DE IMPACTO AMBIENTAL POR EL IE,S/N,27/07/2017 00:00,DGOP/ML/1102/2017,29/06/2017 00:00,IE REQUIERE FIRMA DEL SECRETARIO,27/06/2017 00:00
7,50,2,30,27/07/2017 00:00,56,RETRASO POR PARTE DEL IE PARA SOLICITUD DE AUTORIZACIÓN DE IMPACTO AMBIENTAL,S/N,27/06/2017 00:00,DGOP/ML/1102/2017,29/06/2017 00:00,REQUIEREN FIRMA DE SECRETARIO,27/06/2017 00:00
8,51,2,30,27/07/2017 00:00,56,RETRASO DE LA RESPUESTA A LA SOLICITUD DE AUTORIZACIÓN DE IMPACTO AMBIENTAL POR EL IE,S/N,27/06/2017 00:00,DGOP/ML/1102/2017,29/06/2017 00:00,REQUIERE FIRMA DEL SECRETARIO,27/06/2017 00:00
9,22,1,21,27/05/2017 00:00,53,AMPLIACION POR 2 NUEVOS BENEFICIARIOS POR PARTE DE DES SOCIAL,S/N PRÓRROGA,05/05/2017 00:00,DGOP/CT/PR/188/17,09/05/2017 00:00,,06/05/2017 00:00
10,48,3,32,28/08/2017 00:00,59,NO SE CUENTA CON RESPUESTA A LA SOLICITUD DE AUTORIZACIÓN DE IMPACTO AMBIENTAL POR PARTE DEL IEE,S/N,27/07/2017 00:00,DGOP/ML/1325/2017,01/08/2017 00:00,NINGUNA,27/07/2017 00:00
11,49,3,32,28/08/2017 00:00,59,NO SE CUENTA CON RESPUESTA A LA SOLICITUD DE AUTORIZACIÓN DE IMPACTO AMBIENTAL POR PARTE DEL IEE,S/N,27/07/2017 00:00,DGOP/ML/1325/2017,01/08/2017 00:00,NINGUNA,27/07/2017 00:00
