Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Año,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Leyenda_Oficial,Id_Oficio_Asignacion_Obra,Id_Numero_Contrato_Pertenece
0000000007,0000000007,A-5058-6221-H/004/2017,"PROYECTO EJECUTIVO PARA EL FORTALECIMIENTO DE LA CAPACITACIÓN EN MATERIA DE SISTEMA ACUSATORIO PENAL A TRAVES DE LA EJECUCIÓN DE CASA DE PRESERVACIÓN DEL LUGAR DE LOS HECHOS Y STAND DE TIRO VIRTUAL UBICACIÓN: BLVD. JUAN JOSE TORRES LANDA NO. 5202, COL. MONTE DE CRISTO.",359039.36,0.00,0.00,2017-01-25 00:00:00,2017-02-13 00:00:00,2017-06-03 00:00:00,,0000000001,0000000001,11/MAR/17,EJECUCION,2017,0000000677,NULL,NULL,0000000001,2016-09-02 00:00:00,0000000001,,NULL,0,NULL
0000000008,0000000011,H-D/BANOBRAS-FONADIN/0008/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DEL TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A Y 4A ETAPA RENOVACION DE PARADEROS 1RA. ETAPA SIT OPTIBUS EN BLVD. ADOLFO LÓPEZ MATEOS DE BLVD. FRANCISCO VILLA A AV. MIGUEL ALEMÁN (15VA. ETAPA PARADEROS: EXPIATORIO, TRIGO, ZONA PIEL Y CENTRAL CAMIONERA)",24166051.40,50.00,12083025.70,2017-02-14 00:00:00,2017-02-20 00:00:00,2017-07-15 00:00:00,0000000010,0000000001,0000000001,,EJECUCION,2017,0000000031,NULL,0000000462,0000000003,2017-02-07 00:00:00,0000000003,LO-811020996-E2-2017,NULL,0,NULL
0000000009,0000000010,H-D/BANOBRAS-FONADIN/0010/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3a. Y 4a. ETAPA, AJUSTES OPERATIVOS AL CORREDOR TRONCAL MIGUEL HIDALGO SIT OPTIBUS TRAMO: MALECON DEL RIO DE LOS GOMEZ A BLVD. CAMPESTRE (13va. ETAPA URBANIZACIÓN DE CARRILES EXCLUSIVOS)",33079805.41,50.00,16539902.70,2017-02-16 00:00:00,2017-02-20 00:00:00,2017-07-15 00:00:00,0000000005,0000000001,0000000001,AMALIA  28/03/2017,EJECUCION,2017,0000000326,NULL,NULL,0000000003,2017-02-15 00:00:00,0000000003,LO-811020996-E3-2017,NULL,0,NULL
0000000010,0000000008,A-2510-310-6121-C/0005/2017,INSTALACIÓN DE ILUMINACIÓN ESCENICA EN FUENTE DE LOS LEONES ZONA CENTRO,1425769.41,30.00,427730.82,2017-02-13 00:00:00,2017-02-27 00:00:00,2017-05-06 00:00:00,0000000011,0000000001,0000000001,AMALIA 28/03/2017 08/AB/2017 XOCH MODIF PARTIDA POR ADENDUM DE 6221 A 6121,EJECUCION,2017,0000000026,NULL,NULL,0000000001,2016-12-27 00:00:00,0000000001,,NULL,0,NULL
0000000011,0000000009,A-2510-314-6121-C/0015/2017,INFRAESTRUCTURA MUNICIPAL EN LEÓN (REMODELACIÓN DE MINIDEPORTIVAS VALLE DE LOS CASTILLOS) TRABAJOS COMPLEMENTARIOS,36461.29,0.00,0.00,2017-02-22 00:00:00,2017-02-27 00:00:00,2017-03-04 00:00:00,0000000011,0000000001,0000000001,28/03/2017 AMALIA,EJECUCION,2017,0000000186,NULL,NULL,0000000001,2016-12-13 00:00:00,0000000001,,NULL,0,NULL
0000000012,0000000013,H-D/BANOBRAS-FONADIN/0007/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A Y 4TA ETAPA, RENOVACION DE PARADEROS 1RA. ETAPA SIT OPTIBUS EN BLVD. ADOLFO LOPEZ MATEOS DE BLVD. FRANCISCO VILLA A AV. MIGUEL ALEMAN (16VA. ETAPA PARADEROS: CENTRO HISTÓRICO Y HERMANOS ALDAMA)",23613846.68,50.00,11806923.34,2017-02-14 00:00:00,2017-02-20 00:00:00,2017-07-15 00:00:00,0000000007,0000000001,0000000001,30/MAR/2017 XOCH,EJECUCION,2017,0000000267,NULL,NULL,0000000003,2017-02-07 00:00:00,0000000003,LO-811020996-E1-2017,NULL,0,NULL
0000000013,0000000012,H-D/BANOBRAS-FONADIN/0009/2017,"AMPLIACIÓN DEL SISTEMA INTEGRADO DE TRANSPORTE DE LEÓN (SIT OPTIBÚS) 3A. Y 4A. ETAPA, AJUSTES OPERATIVOS AL CORREDOR TRONCAL MIGUEL HIDALGO SIT OPTIBUS TRAMO: MALECON DEL RIO DE LOS GOMEZ A BLVD. CAMPESTRE (14VA. ETAPA RENOVACION DE PARADEROS)",15916188.81,50.00,7958094.41,2017-02-16 00:00:00,2017-02-20 00:00:00,2017-07-15 00:00:00,0000000006,0000000001,0000000001,30/MAR/2017 XOCH,EJECUCION,2017,0000000494,NULL,NULL,0000000003,2017-02-15 00:00:00,0000000003,LO-811020996-E4-2017,NULL,0,NULL
0000000014,0000000031,A-2110-350-6271-E/0018/2017,REHABILITACION EN LA INSTALACION ELECTRICA DEL MERCADO 16 DE SEPTIEMBRE.,346907.14,30.00,104072.14,2017-03-06 00:00:00,2017-03-27 00:00:00,2017-05-06 00:00:00,0000000010,0000000001,0000000001,,EJECUCION,2017,0000000020,NULL,NULL,0000000001,2016-12-14 00:00:00,0000000001,DGOP/00383/CONT/2016,NULL,0,NULL
0000000015,0000000032,A-2510-315-6121-H/0023/2017,"PROYECTO EJECUTIVO PARA LA EDIFICACION DE LA ESTACION METROPOLITANA DE BOMBEROS NO. 9, SANTA CROCCE.",617193.50,30.00,185158.05,2017-03-15 00:00:00,2017-03-27 00:00:00,2017-07-01 00:00:00,0000000010,0000000001,0000000001,,EJECUCION,2017,0000000634,NULL,NULL,0000000001,2017-04-20 00:00:00,0000000001,DGOP/0420/CONT/2016,NULL,0,NULL
0000000016,0000000020,A-2510-315-6221-H/0028/2017,PROYECTO DE REHABILITACIÓN EN DIFERENTES ESCUELAS DE LA CIUDAD DE LEON.,291193.40,30.00,87358.02,2017-03-31 00:00:00,2017-04-03 00:00:00,2017-05-13 00:00:00,0000000010,0000000001,0000000001,,EJECUCION,2017,0000000531,NULL,NULL,0000000001,2017-03-24 00:00:00,0000000001,DGOP/0023/CONT/2017,NULL,0,NULL
