Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,8,1,ANTICIPO,14/03/2017 00:00,22,14/03/2017 00:00,06/08/2017 00:00,S/N RECALENDARIZACIÓN,24/03/2017 00:00,DGOP/DAyCFO/056/2017,31/03/2017 00:00,ANTICIPÓ 14 DE MARZO Y SE RECALENDARIZARA EL MISMO DÍA.,20/02/2017 00:00,15/07/2017 00:00
2,9,1,ANTICIPO,22/03/2017 00:00,31,23/03/2017 00:00,15/08/2017 00:00,S/N RECALEND,24/03/2017 00:00,DGOP/DAyCFO/057/2017,28/03/2017 00:00,POR ANTICIPO,20/02/2017 00:00,15/07/2017 00:00
3,12,1,ANTICIPO,14/03/2017 00:00,22,14/03/2017 00:00,06/08/2017 00:00,S/N RECALEND,24/03/2017 00:00,DGOP/DAyCFO/059/2017,31/03/2017 00:00,ANTICIPO 14/MAR/2017 Y RECALENDARIZA EL MISMO DÍA,20/02/2017 00:00,15/07/2017 00:00
5,14,1,ANTICIPO,05/04/2017 00:00,10,06/04/2017 00:00,16/05/2017 00:00,S/N,19/04/2017 00:00,DGOP/DAyCFO/091/2017,20/04/2017 00:00,RECALENDARIZACIÓN POR ANTICIPO ,27/03/2017 00:00,06/05/2017 00:00
6,30,1,ANTICIPO,24/04/2017 00:00,25,24/04/2017 00:00,08/09/2017 00:00,S/N,28/04/2017 00:00,DGOP/DAyCFO/093/2017,08/05/2017 00:00,ANTICIPO 24/04/2017 Y SE RECALENDARIZA EL MISMO DÍA,30/03/2017 00:00,14/08/2017 00:00
7,31,1,ANTICIPO,28/04/2017 00:00,26,29/04/2017 00:00,26/10/2017 00:00,S/N,04/05/2017 00:00,DGOP/DAyCFO/094/2017,11/05/2017 00:00,AMALIA 17/05/2017,03/04/2017 00:00,30/09/2017 00:00
8,32,1,ANTICIPO,27/04/2017 00:00,4,28/04/2017 00:00,31/05/2017 00:00,S/N,05/05/2017 00:00,DGOP/DAyCFO/095/2017,10/05/2017 00:00,AMALIA 17/05/2017,24/04/2017 00:00,27/05/2017 00:00
9,34,1,ANTICIPO,05/04/2017 00:00,10,06/04/2017 00:00,09/05/2017 00:00,S/N,21/04/2017 00:00,DGOP/DAyCFO/0096/2017,26/04/2017 00:00,RECALENDARIZACION POR ANTICIPO,27/03/2017 00:00,29/04/2017 00:00
10,22,1,SITIO,26/05/2017 00:00,21,27/03/2017 00:00,06/05/2017 00:00,S/N RECAL ,27/03/2017 00:00,01 RECAL/079/17,30/03/2017 00:00,POR RETRASO EN LA ENTREGA DE SITIO ,06/03/2017 00:00,15/04/2017 00:00
11,66,1,ANTICIPO,19/05/2017 00:00,11,19/05/2017 00:00,19/07/2017 00:00,S/N,26/05/2017 00:00,DGOP/DAyCFO/098/2017,02/06/2017 00:00,RECALENDARIZACIÓN POR ANTICIPO,08/05/2017 00:00,08/07/2017 00:00
12,115,1,ANTICIPO,06/06/2017 00:00,23,07/06/2017 00:00,20/11/2017 00:00,S/N,13/06/2017 00:00,DGOP/099/2017,20/06/2017 00:00,22/06/2017 AMALIA,15/05/2017 00:00,28/10/2017 00:00
13,116,1,ANTICIPO,12/06/2017 00:00,36,13/06/2017 00:00,27/08/2017 00:00,S/NS,21/06/2017 00:00,DGOP/DAyCFO/0101/2017,28/06/2017 00:00,SE RECALENDARIZA POR ANTICIPO ,08/05/2017 00:00,22/07/2017 00:00
14,141,1,ANTICIPO,15/06/2017 00:00,24,16/06/2017 00:00,14/10/2017 00:00,S/N,22/06/2017 00:00,DGOP/DAYCFO/0100/2017,29/06/2017 00:00,AMALIA 04/07/2017,23/05/2017 00:00,20/09/2017 00:00
15,177,1,ANTICIPO,05/07/2017 00:00,3,15/06/2017 00:00,03/10/2017 00:00,S/N,22/06/2017 00:00,DGOP/DAyCFO/0102/2017,27/06/2017 00:00,05 JUL 2017 ANA LAURA,12/06/2017 00:00,30/09/2017 00:00
16,172,1,ANTICIPO,14/07/2017 00:00,17,15/06/2017 00:00,18/09/2017 00:00,S/N,21/06/2017 00:00,DGOP/DAyCFO/0103/2017,27/06/2017 00:00,05/JUL/2017  ANA LAURA,29/05/2017 00:00,01/09/2017 00:00
17,147,1,ANTICIPO,21/06/2017 00:00,24,22/06/2017 00:00,17/10/2017 00:00,S/N,05/07/2017 00:00,DGOP/DCP/0104/2017,06/07/2017 00:00,RECALENDARIZACIÓN POR ANTICIPO,29/05/2017 00:00,23/09/2017 00:00
18,134,1,ANTICIPO,20/06/2017 00:00,15,20/06/2017 00:00,15/10/2017 00:00,S/N RECAL,26/06/2017 00:00,DAyCFO/105/2017,03/07/2017 00:00,RECAL POR ANTICIPO,05/06/2017 00:00,30/09/2017 00:00
19,167,1,ANTICIPO,06/07/2017 00:00,39,07/07/2017 00:00,01/11/2017 00:00,S/N RECAL,11/07/2017 00:00,DGOP/DAyCFO/0109/2017,13/07/2017 00:00,AMALIA 13/04/2017,29/05/2017 00:00,23/09/2017 00:00
20,146,1,ANTICIPO,26/06/2017 00:00,22,27/06/2017 00:00,22/10/2017 00:00,S/N RECAL,05/07/2017 00:00,DGOP/DAyCFO/0111/2017,10/07/2017 00:00,AMALIA 13/07/2017,05/06/2017 00:00,30/09/2017 00:00
22,180,1,ANTICIPO,06/07/2017 00:00,30,06/07/2017 00:00,16/10/2017 00:00,S/N RECAL,13/07/2017 00:00,DGOP/DAyCFO/0113/2017,14/07/2017 00:00,KAREN 14/07/2017,06/06/2017 00:00,16/09/2017 00:00
23,174,1,ANTICIPO,12/07/2017 00:00,45,13/07/2017 00:00,07/11/2017 00:00,S/N RECAL,14/07/2017 00:00,DGOP/DAyCFO/0115/2017,14/07/2017 00:00,KAREN-14/07/2017,29/05/2017 00:00,23/09/2017 00:00
24,196,1,ANTICIPO,03/07/2017 00:00,14,03/07/2017 00:00,07/10/2017 00:00,S/N RECAL,07/07/2017 00:00,DAyCFO/107/2017,14/07/2017 00:00,karen 17/07/2017,19/06/2017 00:00,23/09/2017 00:00
25,197,1,ANTICIPO,03/07/2017 00:00,21,03/07/2017 00:00,06/10/2017 00:00,S/N RECAL,07/06/2017 00:00,DAyCFO/106/2017,14/07/2017 00:00,KAREN 18/07/2017,12/06/2017 00:00,15/09/2017 00:00
26,169,1,ANTICIPO,06/07/2017 00:00,18,07/07/2017 00:00,25/10/2017 00:00,S/N RECAL,13/07/2017 00:00,DAyCFO/108/2017,20/07/2017 00:00,KAREN 19/07/2017,19/06/2017 00:00,07/10/2017 00:00
27,148,1,ANTICIPO,05/07/2017 00:00,17,06/07/2017 00:00,24/10/2017 00:00,S/N RECAL,12/07/2017 00:00,DGOP/DAyCFO/0112/2017,13/07/2017 00:00,AMALIA 19/07/2017,19/06/2017 00:00,07/10/2017 00:00
28,200,1,ANTICIPO,13/07/2017 00:00,10,13/07/2017 00:00,31/10/2017 00:00,S/N,18/07/2017 00:00,DGOP/DCP/0117/2017,20/07/2017 00:00,SE AUTORIZA RECALENDARIZACIÓN  DEPOSITO DE ANTICIPO,03/07/2017 00:00,21/10/2017 00:00
29,201,1,ANTICIPO,13/07/2017 00:00,10,13/07/2017 00:00,31/10/2017 00:00,S/N,18/07/2017 00:00,DGOP/DCP/0117/2017,20/07/2017 00:00,SE AUTORIZA RECALENDARIZACIÓN  DEPOSITO DE ANTICIPO,03/07/2017 00:00,21/10/2017 00:00
30,189,1,ANTICIPO,12/07/2017 00:00,24,13/07/2017 00:00,17/10/2017 00:00,S/N,19/07/2017 00:00,DGOP/DCP/0118/2017,20/07/2017 00:00,SE AUTORIZA RECALENDARIZACIÓN POR ANTICIPO  EL DIA 12/07/2017,19/06/2017 00:00,23/09/2017 00:00
31,184,1,ANTICIPO,13/07/2017 00:00,25,14/07/2017 00:00,18/10/2017 00:00,SN/ RECAL,20/07/2017 00:00,DAyCFO/120/2017,27/07/2017 00:00,KAREN 20/07/2017,19/06/2017 00:00,23/09/2017 00:00
32,207,1,ANTICIPO,13/07/2017 00:00,60,14/07/2017 00:00,28/08/2017 00:00,S/N RECAL,07/05/2017 00:00,DAyCFO/119/2017,12/06/2017 00:00,KAREN 21/07/2017,15/05/2017 00:00,29/06/2017 00:00
