Id_Unidad_Responsable,Clave,Nombre
3,5051,OBRAS POR COOPERACION
2,5021,PATRONATO DEL PARQUE ZOOLOGICO
18,1520,BLINDAJE DEL C4
9,2110,DIRECCION GENERAL DE ECONOMIA
8,5012,DIF
20,1513,SECRETARIA DE SEGURIDAD PUBLICA
4,1512,SEGURIDAD PUBLICA
13,5011,REHAB. PARQUE TEMATICO
5,1810,DIRECCION GENERAL DE DESARROLLO RURAL
14,2210,DIRECCION GENERAL DE EDUCACION
21,2410,MOVILIDAD
1,2510,DIRECCION  GENERAL DE OBRA PUBLICA
6,1119,UNIDAD DE INVERSION Y BANCO DE PROYECTOS
10,2310,DIRECCION GENERAL DE MEDIO AMBIENTE
16,2610,DIRECCION GENERAL DE SALUD
15,1910,SAGARPA
11,900,FIMETRO
19,2010,"SERVICIOS DE DISEÑO, ARQUITECTURA, INGENIERIA Y AC"
7,1199,UNIDAD DE INVERSION Y BANCO DE PROYECTOS
17,1510,OBRA SUBSEMUN 2011
12,1517,REHAB DE PAVIMENTOS
