Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe,Id_Contrato_Ampliacion
0000000001,0000000001,1,PRELIMINARES Y OBRAS COMPLEMENTARIAS REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE,5434.85,
0000000002,0000000001,2,REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE,6636.38,
0000000003,0000000001,3,CAJAS PARA LA OPERACION DE VALVULAS REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE,15351.00,
0000000004,0000000001,4,PRELIMINARES Y OBRAS COMPLEMENTARIAS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (ATARJEA),97761.31,
0000000005,0000000001,5,ACARREOS EN CAMION REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (ATARJEA),10544.13,
0000000006,0000000001,6,REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (ATARJEA),39517.38,
0000000007,0000000001,7,POZOS DE VISITA REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (ATARJEA),11932.74,
0000000008,0000000001,8,PRELIMINARES Y OBRAS COMPLEMENTARIAS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (DESCARGAS DOMICILIARIAS),6568.41,
0000000009,0000000001,9,ACARREOS EN CAMION REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (ATARJEA),1333.50,
0000000010,0000000001,10,REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO (DESCARGAS DOMICILIARIAS),4376.40,
0000000011,0000000001,11,SEÑALAMIENTO PARA LA PROTECCION DE OBRA ARROYO Y GUARNICIONES,6553.68,
0000000012,0000000001,12,PRELIMINARES Y OBRAS COMPLEMENTARIAS ARROYO Y GUARNICIONES,119599.70,
0000000013,0000000001,13,ACARREOS EN CAMION ARROYO Y GUARNICIONES,44577.94,
0000000014,0000000001,14,BASES Y SUB BASES ARROYO Y GUARNICIONES,79262.94,
0000000015,0000000001,15,PAVIMENTOS ARROYO Y GUARNICIONES,847023.05,
0000000016,0000000001,16,PRELIMINARES Y OBRAS COMPLEMENTARIAS BANQUETAS,38907.51,
0000000017,0000000001,17,ACARREOS EN CAMION BANQUETAS,11469.22,
0000000018,0000000001,18,BASES Y SUB BASES BANQUETAS,1840.54,
0000000019,0000000001,19,PAVIMENTOS BANQUETAS,115899.13,
0000000020,0000000001,20,FUERA DE CATALOGO,0.00,
0000000021,0000000002,1,PRELIMINARES Y OBRAS COMPLEMENTARIAS ARROYO Y GUARNICIONES,57449.43,
0000000022,0000000002,2,ACARREOS EN CAMION ARROYO Y GUARNICIONES,33037.29,
0000000023,0000000002,3,BASES Y SUB BASES ARROYO Y GUARNICIONES,106170.87,
0000000024,0000000002,4,PAVIMENTOS ARROYO Y GUARNICIONES,1284533.03,
0000000025,0000000003,1,PRELIMINARES,730062.57,
0000000026,0000000003,2,FUERA DE CATALOGO,0.00,
0000000027,0000000004,1,PRELIMINARES,60617.62,
0000000028,0000000004,2,ANTEPROYECTOS,12469.77,
0000000029,0000000004,3,ENTREGA,3730.11,
0000000030,0000000005,1,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS,91131.15,
0000000031,0000000005,2,BASES Y SUB BASES,41155.20,
0000000032,0000000005,3,PAVIMENTOS ASFALTICOS,587280.00,
0000000033,0000000005,4,ACARREOS EN CAMION,133459.36,
0000000034,0000000006,1,PRELIMINARES Y OBRAS COMPLEMENTARIAS,29609.06,
0000000035,0000000006,2,BASES Y SUB BASES,13162.80,
0000000036,0000000006,3,PAVIMENTOS,377975.95,
0000000037,0000000006,4,ACARREOS EN CAMION,10286.35,
