Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,9,1,ANTICIPO,24/02/2011 00:00,7,21/02/2011 00:00,26/02/2011 00:00,S/N RECAL ,20/02/2011 00:00,CT/REC/0001/11 ,24/02/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,14/02/2011 00:00,19/02/2011 00:00
2,4,1,ANTICIPO,24/02/2011 00:00,8,22/02/2011 00:00,15/05/2011 00:00,S/N RECAL ,23/02/2011 00:00,CT/REC/0002/11 ,24/02/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,14/02/2011 00:00,07/05/2011 00:00
3,6,1,ANTICIPO,25/02/2011 00:00,14,21/02/2011 00:00,20/05/2011 00:00,S/N RECAL ,23/02/2011 00:00,CT/REC/0004/11 ,25/02/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,07/02/2011 00:00,06/05/2011 00:00
4,11,1,ANTICIPO,03/03/2011 00:00,11,25/02/2011 00:00,04/05/2011 00:00,S/N RECAL ,02/03/2011 00:00,CT/REC/0004/11 ,03/03/2011 00:00,SE ANEXA COPIA DE AUTORIZACIÓN DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALDNDARIZACION EN EL EXPEDIENTE UNITARIO,14/02/2011 00:00,23/04/2011 00:00
5,8,1,ANTICIPO,21/02/2011 00:00,11,18/02/2011 00:00,19/07/2011 00:00,S/N RECAL ,21/02/2010 00:00,CT/REC/035/11  ,21/02/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,07/02/2011 00:00,08/07/2011 00:00
6,13,1,ANTICIPO,14/03/2011 00:00,29,08/03/2011 00:00,05/08/2011 00:00,S/N RECAL ,11/03/2011 00:00,CT/REC/0005/11 ,14/03/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,07/02/2011 00:00,07/07/2011 00:00
7,12,1,ANTICIPO,03/03/2011 00:00,14,21/02/2011 00:00,04/06/2011 00:00,S/N RECAL ,24/02/2011 00:00,CT/REC/0006/11 ,03/03/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EXPEDIENTE UNITARIO,07/02/2011 00:00,21/05/2011 00:00
8,27,1,ANTICIPO,04/03/2011 00:00,14,28/02/2011 00:00,30/04/2011 00:00,S/N RECAL ,04/03/2011 00:00,CT/REC/0007/11 ,04/03/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,14/02/2011 00:00,16/04/2011 00:00
9,25,1,ANTICIPO,17/03/2011 00:00,9,16/03/2011 00:00,18/04/2011 00:00,S/N RECAL ,17/03/2011 00:00,CT/REC/0008/11 ,17/03/2011 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACIÓN ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,07/03/2011 00:00,09/04/2011 00:00
10,39,1,ANTICIPO,30/03/2011 00:00,7,28/03/2011 00:00,16/07/2011 00:00,S/N RECAL ,28/03/2011 00:00,CT/REC/0009/11 ,30/03/2011 00:00,SE ANEXA COPIA DE AUTOORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,21/03/2011 00:00,09/07/2011 00:00
