Id_Prorroga,Id_Contrato,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
13,24,12,26/04/2011 00:00,27.27,,S/N,11/04/2011 00:00,S/N,11/04/2011 00:00,,13/04/2011 00:00
14,25,21,10/05/2011 00:00,63.64,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,05/04/2011 00:00,S/N PRORROGA 1,14/04/2011 00:00,,18/04/2011 00:00
17,1,20,21/05/2011 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,29/04/2011 00:00,S/N PRORROGA 2,06/05/2011 00:00,,30/04/2011 00:00
18,4,27,12/06/2011 00:00,32.93,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,05/05/2011 00:00,S/N PRORROGA 1,16/05/2011 00:00,,15/05/2011 00:00
19,6,6,27/05/2011 00:00,6.82,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,29/04/2011 00:00,S/N PRORROGA 1,12/05/2011 00:00,,20/05/2011 00:00
30,1,20,11/06/2011 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,20/05/2011 00:00,S/N PRORROGA 3,27/05/2011 00:00,,21/05/2011 00:00
31,71,20,04/06/2011 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,11/05/2011 00:00,S/N PRORROGA 1,20/05/2011 00:00,,14/05/2011 00:00
32,79,14,19/06/2011 00:00,25.93,SE ANEXA DOC A EXPEDIENTE UNITARIO CAP. TEO.,S/N,13/05/2011 00:00,S/N PRORROGA 1,20/05/2011 00:00,,04/06/2011 00:00
33,33,29,14/08/2011 00:00,23.58,SE ANEXA DOC A EXPEDIENTE UNITARIO CAP. TEO.,S/N,16/05/2011 00:00,S/N PRORROGA 1,24/05/2011 00:00,,15/07/2011 00:00
34,39,36,22/08/2011 00:00,32.73,,S/N,24/05/2010 00:00,S/N,01/06/2011 00:00,,16/07/2011 00:00
