Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
22,2,331,1,MUNICIPAL
40,2,396,1,MUNICIPAL
87,2,389,1,MUNICIPAL
50,7,638,5,RAMO 33 F I
64,11,814,2,ESTATAL
47,7,397,1,MUNICIPAL 3X1 MIGRANTES
41,9,926,3,FEDERAL
70,7,937,3,FEDERAL
7,4,336,1,MUNICIPIO
49,9,392,1,MUNICIPAL
55,6,314,1,MUNICIPAL
76,8,915,3,FEDERAL
80,10,929,3,FEDERAL
83,2,942,3,FEDERAL
21,9,600,5,RAMO 33 FI
59,11,927,3,FEDERAL
92,2,311,1,AMPLIACIONES Y ESCALATORIAS
85,11,943,3,FEDERAL
44,2,901,3,FEDERAL
94,2,337,1,AMPLIACIONES Y ESCALATORIAS
82,2,317,3,MUNICIPAL
90,2,312,1,MUNICIPAL
54,9,601,5,RAMO 33 F I
62,11,294,1,MUNICIPAL
12,2,326,1,MUNICIPAL
57,2,629,5,RAMO 33 F-I
93,16,350,1,MODERNIZATE
63,11,815,2,ESTATAL
77,7,936,3,FEDERAL
13,2,914,3,FEDERAL
35,10,923,3,FEDERAL
73,7,324,1,MUNICIPAL
86,3,287,1,MUNICIPAL
20,9,305,1,MUNICIPAL
51,6,631,5,RAMO 33 F I
52,11,932,3,FEDERAL
48,2,801,2,ESTATAL
1,1,340,1,MUNICIPAL
67,2,323,1,MUNICIPAL
45,7,930,3,FEDERAL 3X1 MIGRANTES
65,11,295,1,MUNICIPAL
36,12,307,1,MUNICIPAL
27,2,625,5,RAMO 33 FI
81,6,635,5,RAMO 33 F-I
95,2,314,1,EDIFICACION NO HABITACIONAL
18,8,346,1,MUNICIPAL
29,2,374,1,MUNICIPAL
33,11,306,1,MUNICIPAL
46,7,816,2,ESTATAL 3X1 MIGRANTES
8,5,236,4,FIDOC
5,2,900,3,FEDERAL
78,2,600,1,ESTADO
66,2,300,1,MUNICIPAL
75,2,289,1,MUNICIPAL
58,7,639,5,RAMO 33 F-I
2,2,610,5,RAMO 33 FI
4,3,301,2,MUNICIPAL
84,11,941,3,FEDERAL
69,7,399,1,MUNICIPAL
89,2,3049,1,COLECTOR TIMOTEO LOZANO
91,2,315,1,MUNICIPAL
68,10,928,3,FEDERAL
79,9,291,1,MUNICIPAL
56,2,366,1,MUNICIPAL
88,2,800,2,ESTADO
34,2,909,3,FEDERAL
