Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe
1,1,1,01 PRELIMINARES,559034.72
2,1,2,02 ESTRUCTURA,512520.34
3,1,3,03 CUBIERTA,1241333.7
4,2,1,PRELIMINARES,4574.37
5,2,2,ALBAÑILERÍA MURO BASURERO,6756.14
6,2,3,ACABADOS MURO BASURERO,15794.24
7,2,4,ACABADOS PISO BASURERO,8871.86
8,2,5,ACABADOS PISO MERCADO,249212.3
9,2,6,BAÑOS HOMBRES Y MUJERES,126698.75
10,2,7,MUEBLES PARA BAÑOS HOMBRES,34805.42
11,2,8,MUEBLES BAÑOS MUJERES,28790.55
12,2,9,MAMPARAS PARA BAÑOS,53507.15
13,2,10,ACCESORIOS PARA BAÑOS,16919.78
14,2,11,HERRERIA,1725.58
15,2,12,DRENAJE SANITARIO MERCADO DEMOLICIÓN DE COLECTOR EXISTENTE,20354.55
16,2,13,DRENAJE SANITARIO MERCADO DEMOLICIÓN DE REGISTROS EXISTENTES,8853.13
17,2,14,DRENAJE SANITARIO MERCADO INSTALACIÓN SANITARIA,136184.88
18,2,15,INSTALACIÓN ELÉCTRICA MERCADO ALIMENTADORES DERIVADOS A LOCALES DE CONCENTRACIÓN DE MEDIDORES CM1,234519.15
19,2,16,INSTALACIÓN ELÉCTRICA MERCADO ALIMENTADORES DERIVADOS A LOCALES DE CONCENTRACIÓN DE MEDIDORES CM2,273266.4
20,2,17,"INSTALACIÓN ELÉCTRICA DE ALUMBRADO GENERAL DE PASILLOS,  PLANO IE-02",105056.55
21,2,18,INSTALACIÓN ELÉCTRICA MERCADO CONCENTRACIÓN DE MEDIDORES CM1,89082.32
22,2,19,INSTALACIÓN ELÉCTRICA MERCADO CONCENTRACIÓN DE MEDIDORES CM2,72410.5
23,2,20,INSTALACIÓN ELÉCTRICA MERCADO MALLA DE TIERRA PARA CONCENTRACIÓN DE MEDIDORES CM1,10881.65
24,2,21,INSTALACIÓN ELÉCTRICA MERCADO MALLA DE TIERRA PARA CONCENTRACIÓN DE MEDIDORES CM2,10881.65
25,2,22,INSTALACIÓN ELÉCTRICA DE ACOMETIDAS EN BAJA TENSIÓN A CONCENTRACIONES DE MEDIDORES CM1 Y CM2,105819.45
26,2,23,"INSTALACIÓN ELÉCTRICA MERCADO SUBESTACIÓN TRIFÁSICA TIPO POSTE DE 75KVA, 13200-127/220V",73148.99
27,2,24,"DESMANTELAMIENTO DE INSTALACIÓN ELÉCTRICA EXISTENTE DE ALUMBRADO GENERAL INTERIOR DE PASILLOS, PLANO IEE-03",10995.72
28,2,25,LIMPIEZA DE OBRA,23322.3
29,2,26,FUERA DE CATALOGO,0
30,3,1,DEMOLICIONES Y DESMANTELAMIENTOS,345693.19
31,3,2,PRELIMINARES Y OBRAS COMPLEMENTARIAS VIALIDADES A NIVEL (PAVIMENTOS HIDRAULICOS),455368.6
32,3,3,ACARREOS EN CAMION VIALIDADES A NIVEL (PAVIMENTOS HIDRAULICOS),461262.93
33,3,4,BASES Y SUB BASES VIALIDADES A NIVEL (PAVIMENTOS HIDRAULICOS),872406
34,3,5,PAVIMENTOS VIALIDADES A NIVEL (PAVIMENTOS HIDRAULICOS),5923434.5
35,3,6,PRELIMINARES Y OBRAS COMPLEMENTARIAS (BANQUETAS),470758.39
36,3,7,ACARREOS EN CAMION (BANQUETAS),87670.7
37,3,8,BASES Y SUB BASES (ACCESOS A BODEGAS Y/O COMERCIOS),132583
38,3,9,PAVIMENTOS BANQUETA,858946.78
39,3,10,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS ( AGUA POTABLE),486325.18
40,3,11,ACARREOS EN CAMION (AGUA POTABLE),128025.4
41,3,12,BASES Y SUB BASES VIALIDADES A NIVEL,15079.93
42,3,13,PAVIMENTOS VIALIDADES A NIVEL,9143.68
43,3,14,AGUA POTABLE,1270473.2
44,3,15,CAJAS PARA LA OPERACION DE VALVULAS (AGUA POTABLE),199860.93
45,3,16,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE SANITARIO),4674502.76
46,3,17,ACARREOS EN CAMION (DRENAJE SANITARIO),992726.1
47,3,18,BASES Y SUB BASES VIALIDADES A NIVEL,651907.43
48,3,19,REPARACION DE PAVIMENTOS (DRENAJE SANITARIO),9259120.73
49,3,20,DRENAJE SANITARIO,6479597.47
50,3,21,POZOS DE VISITA (DRENAJE SANITARIO),748445.82
51,3,22,"PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE SANITARIO, DESCARGAS DOMICILIARIAS)",184534.66
52,3,23,"ACARREOS EN CAMION (DRENAJE SANITARIO, DESCARGAS DOMICILIARIAS)",30828.75
53,3,24,"DRENAJE SANITARIO, DESCARGAS DOMICILIARIAS",73626.99
54,3,25,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE PLUVIAL),51590.52
55,3,26,ACARREOS EN CAMION (DRENAJE PLUVIAL),31420.29
56,3,27,BASES Y SUB BASES VIALIDADES A NIVEL,5188.05
57,3,28,REPARACION DE PAVIMENTOS (DRENAJE PLUVIAL),48065.2
58,3,29,DRENAJE PLUVIAL,425641.66
59,3,30,POZOS DE VISITA (DRENAJE PLUVIAL),1969.14
60,3,31,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE PLUVIAL),47253
61,3,32,ACARREOS EN CAMION (DRENAJE PLUVIAL),1884.33
62,3,33,BASES Y SUB BASES VIALIDADES A NIVEL,1982.29
63,3,34,REPARACION DE PAVIMENTOS (DRENAJE PLUVIAL),11217.08
64,3,35,DRENAJE PLUVIAL,23363.14
65,3,36,POZOS DE VISITA (DRENAJE PLUVIAL),586429.75
66,3,37,POSTES (ALUMBRADO PUBLICO),283811.64
67,3,38,ESTRUCTURAS PRIMARIAS (ALUMBRADO PUBLICO),43846.73
68,3,39,ESTRUCTURAS SECUNDARIAS (ALUMBRADO PUBLICO),2605.06
69,3,40,CONTROL (ALUMBRADO PUBLICO),5337.15
70,3,41,ALUMBRADO PUBLICO,48299.83
71,3,42,CFE (ELECTRIFICACION),342049.21
72,3,43,CANALIZACION (TELEFONIA),1002284.13
73,3,44,RED SECUNDARIA (TELEFONIA),27526.62
74,3,45,DESM SECUNDARIO (TELEFONIA),2453.89
75,3,46,SEÑALAMIENTO PARA LA PROTECCION DE OBRA,104728.94
76,3,47,SEÑALAMIENTO VERTICAL (SEÑALAMIENTO DE OPERACIÓN),164679.87
77,3,48,SEÑALAMIENTO HORIZONTAL (SEÑALAMIENTO DE OPERACIÓN),3912273.06
78,3,49,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS EN SEMAFORIZACION EN INTERSECCIONES,160305.75
79,3,50,ACARREOS EN CAMION SEMAFORIZACION PARA LA PROTECCION DE OBRA,10314.2
80,3,51,PAVIMENTOS VIALIDADES A NIVEL,608807.37
81,3,52,OBRA CIVIL SEMAFORIZACION,212963
82,3,53,INFRAESTRUCTURA SEMAFORIZACION,499731.92
83,3,54,CABEZAS SEMAFORICAS,407949.47
84,3,55,SEÑALAMIENTOS,11083.62
85,3,56,COMUNICACIÓN,1175713.78
86,3,57,PRELIMINARES CICLOVIA,206879.07
87,3,58,ACARREOS EN CAMION CICLOVÍA,139241.7
88,3,59,BASES CICLOVIA,459398.28
89,3,60,PAVIMENTO CICLOVIA,2632789.26
90,3,61,TRASPLANTES,12606.44
91,3,62,TALA DE ARBOLES,33376.72
92,3,63,CONCRETOS (MOVILIARIO E IMAGEN URBANA),443155.1
93,3,64,JARDINERIA (MOVILIARIO E IMAGEN URBANA),172904.75
94,3,65,MOBILIARIO (MOVILIARIO E IMAGEN URBANA),311155.73
95,3,66,FUERA DE CATALOGO,0
96,4,1,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE PLUVIAL),466141.8
97,4,2,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS (DRENAJE PLUVIAL) (CONCEPTOS TOMADOS DE OTRA PARTIDA),342542.58
98,4,3,ACARREOS EN CAMION (DRENAJE PLUVIAL),275648.56
99,4,4,BASES Y SUB BASES VIALIDADES A NIVEL,57836.38
100,4,5,PREPARACION DE PAVIMENTOS (DRENAJE PLUVIAL),17484.51
101,4,6,DRENAJE PLUVIAL,165553.63
102,4,7,REPARACION DE PAVIMENTOS (DRENAJE PLUVIAL),485142.22
103,4,8,REPARACION DE PAVIMENTOS (DRENAJE PLUVIAL) (CONCEPTOS TOMADOS DE OTRA PARTIDA),233513.64
104,4,9,POZOS DE VISITA (DRENAJE PLUVIAL) (CONCEPTOS TOMADOS DE OTRA PARTIDA),1773883.14
105,5,1,CONCEPTOS FUERA DE CATALOGO,1724137.35
106,6,1,DEMOLICIONES - DEMOLICIONES Y DESMANTELAMIENTOS.,200280.24
107,6,2,CARGAS Y ACARREOS SIN RECUPERACIÓN - DEMOLICIONES Y DESMANTELAMIENTOS.,40430.17
108,6,3,CARGAS Y ACARREOS CON RECUPERACIÓN - DEMOLICIONES Y DESMANTELAMIENTOS.,40663.51
109,6,4,DESMANTELAMIENTOS - DEMOLICIONES Y DESMANTELAMIENTOS.,27145.66
110,6,5,CARGAS Y ACARREOS - DEMOLICIONES Y DESMANTELAMIENTOS.,2784.78
111,6,6,TALAS - DEMOLICIONES Y DESMANTELAMIENTOS.,148674.68
112,6,7,"PRELIMINARES ANDADORES, INTERSECCIONES Y PLAZOLETAS - PRELIMINARES Y TERRACERÍAS.",17083.08
113,6,8,PRELIMINARES ESCALERAS Y ACCESOS - PRELIMINARES Y TERRACERÍAS.,2186.97
114,6,9,"ACARREOS ANDADORES, INTERSECCIONES Y PLAZOLETAS - PRELIMINARES Y TERRACERÍAS.",34111.02
115,6,10,ACARREOS ESCALERAS Y ACCESOS - PRELIMINARES Y TERRACERÍAS.,4366.9
116,6,11,"BASES ANDADORES, INTERSECCIONES Y PLAZOLETAS - PRELIMINARES Y TERRACERÍAS.",223489.86
117,6,12,BASES ESCALERAS Y ACCESOS - PRELIMINARES Y TERRACERÍAS.,38355.7
118,6,13,"SELLADORES ASFÁLTICOS ANDADORES, INTERSECCIONES Y PLAZOLETAS - PRELIMINARES Y TERRACERÍAS.",66573.06
119,6,14,"PISOS ANDADORES, INTERSECCIONES Y PLAZOLETAS - ALBAÑILERÍAS Y ACABADOS.",2022775.58
120,6,15,ESCALERAS Y ACCESOS - ALBAÑILERÍAS Y ACABADOS.,437156.95
121,6,16,ARRIATES - ALBAÑILERÍAS Y ACABADOS.,75229.01
122,6,17,SEÑALÉTICA URBANA - ALBAÑILERÍAS Y ACABADOS.,62383.07
123,6,18,EXCAVACIONES Y RELLENOS - CANALIZACIONES PARA MEDIA TENSIÓN - MEDIA TENSIÓN.,8427.31
124,6,19,CARGAS MANUALES Y ACARREOS - CANALIZACIONES PARA MEDIA TENSIÓN - MEDIA TENSIÓN.,1044.3
125,6,20,CANALIZACIONES (TUBERÍAS) PARA MEDIA TENSIÓN - MEDIA TENSIÓN.,1477.2
126,6,21,"LÍNEA, BASES Y TRANSFORMADOR - CANALIZACIONES PARA MEDIA TENSIÓN - MEDIA TENSIÓN.",113920.03
127,6,22,INSTALACIONES Y CABLEADOS - CANALIZACIONES PARA MEDIA TENSIÓN - MEDIA TENSIÓN.,32594.18
128,6,23,EXCAVACIONES Y RELLENOS - CANALIZACIONES PARA RED ELÉCTRICA PARQUE.,47767.58
129,6,24,CARGAS MANUALES Y ACARREOS - CANALIZACIONES PARA RED ELÉCTRICA PARQUE.,4302.19
130,6,25,CANALIZACIONES (TUBERÍAS) - CANALIZACIONES PARA RED ELÉCTRICA PARQUE.,29193
131,6,26,REGISTROS Y BASES PARA POSTES - CANALIZACIONES PARA RED ELÉCTRICA PARQUE.,97315.3
132,6,27,INSTALACIONES Y CABLEADO - CANALIZACIONES PARA RED ELÉCTRICA PARQUE.,322697.64
133,6,28,EXCAVACIONES Y RELLENOS - CANCHAS Y SKATES.,139225.36
134,6,29,CARGAS MANUALES Y ACARREOS - CANCHAS Y SKATES.,11043.14
135,6,30,CANALIZACIONES (TUBERÍAS) - CANCHAS Y SKATES.,19540.14
136,6,31,REGISTROS Y BASES PARA POSTES - CANCHAS Y SKATES.,2413.2
137,6,32,INSTALACIONES Y CABLEADO - RED DE ALUMBRADO PÚBLICO.,93434.44
138,6,33,EXCAVACIONES Y RELLENOS - RED DE VIGILANCIA.,32265.92
139,6,34,CARGAS MANUALES Y ACARREOS - RED DE VIGILANCIA.,2501.68
140,6,35,CANALIZACIONES (TUBERÍAS) - RED DE VIGILANCIA.,28209.28
141,6,36,REGISTROS Y BASES PARA POSTES - RED DE VIGILANCIA.,17548.52
142,6,37,EXCAVACIONES Y RELLENOS - RED DE AGUA POTABLE Y RIEGO.,71281.17
143,6,38,CARGAS MANUALES Y ACARREOS - RED DE AGUA POTABLE Y RIEGO.,6031.87
144,6,39,CANALIZACIONES (TUBERÍAS) - RED DE AGUA POTABLE Y RIEGO.,37016.78
145,6,40,EXCAVACIONES Y RELLENOS - RED DE AGUA POTABLE BEBEDEROS.,5315.38
146,6,41,CARGAS MANUALES Y ACARREOS - RED DE AGUA POTABLE BEBEDEROS.,411.89
147,6,42,CANALIZACIONES (TUBERÍAS) - RED DE AGUA POTABLE BEBEDEROS.,28219.25
