Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe,Id_Contrato_Ampliacion
0000000001,0000000001,1,01 PRELIMINARES,559034.72,
0000000002,0000000001,2,02 ESTRUCTURA,512520.34,
0000000003,0000000001,3,03 CUBIERTA,1241333.70,
0000000004,0000000002,1,PRELIMINARES,4574.37,
0000000005,0000000002,2,ALBAÑILERÍA MURO BASURERO,6756.14,
0000000006,0000000002,3,ACABADOS MURO BASURERO,15794.24,
0000000007,0000000002,4,ACABADOS PISO BASURERO,8871.86,
0000000008,0000000002,5,ACABADOS PISO MERCADO,249212.30,
0000000009,0000000002,6,BAÑOS HOMBRES Y MUJERES,126698.75,
0000000010,0000000002,7,MUEBLES PARA BAÑOS HOMBRES,34805.42,
0000000011,0000000002,8,MUEBLES BAÑOS MUJERES,28790.55,
0000000012,0000000002,9,MAMPARAS PARA BAÑOS,53507.15,
0000000013,0000000002,10,ACCESORIOS PARA BAÑOS,16919.78,
0000000014,0000000002,11,HERRERIA,1725.58,
0000000015,0000000002,12,DRENAJE SANITARIO MERCADO DEMOLICIÓN DE COLECTOR EXISTENTE,20354.55,
0000000016,0000000002,13,DRENAJE SANITARIO MERCADO DEMOLICIÓN DE REGISTROS EXISTENTES,8853.13,
0000000017,0000000002,14,DRENAJE SANITARIO MERCADO INSTALACIÓN SANITARIA,136184.88,
0000000018,0000000002,15,INSTALACIÓN ELÉCTRICA MERCADO ALIMENTADORES DERIVADOS A LOCALES DE CONCENTRACIÓN DE MEDIDORES CM1,234519.15,
0000000019,0000000002,16,INSTALACIÓN ELÉCTRICA MERCADO ALIMENTADORES DERIVADOS A LOCALES DE CONCENTRACIÓN DE MEDIDORES CM2,273266.40,
0000000020,0000000002,17,"INSTALACIÓN ELÉCTRICA DE ALUMBRADO GENERAL DE PASILLOS,  PLANO IE-02",105056.55,
0000000021,0000000002,18,INSTALACIÓN ELÉCTRICA MERCADO CONCENTRACIÓN DE MEDIDORES CM1,89082.32,
0000000022,0000000002,19,INSTALACIÓN ELÉCTRICA MERCADO CONCENTRACIÓN DE MEDIDORES CM2,72410.50,
0000000023,0000000002,20,INSTALACIÓN ELÉCTRICA MERCADO MALLA DE TIERRA PARA CONCENTRACIÓN DE MEDIDORES CM1,10881.65,
0000000024,0000000002,21,INSTALACIÓN ELÉCTRICA MERCADO MALLA DE TIERRA PARA CONCENTRACIÓN DE MEDIDORES CM2,10881.65,
0000000025,0000000002,22,INSTALACIÓN ELÉCTRICA DE ACOMETIDAS EN BAJA TENSIÓN A CONCENTRACIONES DE MEDIDORES CM1 Y CM2,105819.45,
