Id_Suspension,Id_Contrato,Oficio_Suspension,Fecha_Suspension,Observaciones_Suspension,Oficio_Reinicio,Fecha_Reinicio,Observaciones_Reinicio,Fecha_Nuevo_Termino,Fecha_Oficio_Suspension,Fecha_Oficio_Reinicio
1,96,DGOP/CT/032/14,11/07/2014 00:00,,DGOP/CT/0032/14,08/09/2014 00:00,,23/09/2014 00:00,11/07/2014 00:00,08/09/2014 00:00
2,60,DGOP/CT/038/14,01/08/2014 00:00,,DGOP/CT/038/14,10/11/2014 00:00,,08/12/2014 00:00,01/08/2014 00:00,10/11/2014 00:00
3,68,DGOP/CT/026/14,30/05/2014 00:00,,DGOP/CT/026/14,26/01/2015 00:00,,03/02/2015 00:00,30/05/2014 00:00,26/01/2015 00:00
4,203,DGOP/CT/054/14,27/10/2014 00:00,,DGOP/CT/0054/14,17/11/2014 00:00,,27/12/2014 00:00,27/10/2014 00:00,17/11/2014 00:00
5,221,DGOP/CT/058/14,04/11/2014 00:00,,DGOP/CT/058/14,28/11/2014 00:00,,25/03/2015 00:00,04/11/2014 00:00,28/11/2014 00:00
6,262,DGOP/CT/009/15,20/03/2015 00:00,,DGOP/CT/009/15,31/03/2015 00:00,,01/04/2015 00:00,20/03/2015 00:00,31/03/2015 00:00
7,95,S/N,28/04/2015 00:00,,S/N,28/04/2015 00:00,,07/07/2015 00:00,28/04/2015 00:00,28/04/2015 00:00
8,106,DGOP/CT/040/14,07/08/2014 00:00,,DGOP/CT/040/14,20/04/2015 00:00,,30/04/2015 00:00,07/08/2014 00:00,20/04/2015 00:00
9,187,DGOP/CT/050/14,14/10/2014 00:00,,DGOP/CT/050/14,10/02/2015 00:00,,14/02/2015 00:00,14/10/2014 00:00,10/02/2015 00:00
10,147,DGOP/CT/012/15,22/05/2015 00:00,,DGOP/CT/012/15,02/07/2015 00:00,,23/08/2015 00:00,22/05/2015 00:00,02/07/2015 00:00
11,218,DGOP/CT/025/15,17/08/2015 00:00,,DGOP/CT/025/15,18/01/2016 00:00,,02/03/2016 00:00,17/08/2015 00:00,18/01/2016 00:00
12,130,DGOP/CT/0048/14,30/09/2014 00:00,,DGOP/CT/0048/14,30/10/2014 00:00,,20/12/2014 00:00,30/09/2014 00:00,30/10/2014 00:00
15,8,ML/1772/2015,02/10/2015 00:00,,ML/1772/2015,02/10/2015 00:00,,19/10/2015 00:00,02/10/2015 00:00,02/10/2015 00:00
16,237,DGOP/CT/055/15,20/11/2015 00:00,,DGOP/CT/055/15,09/05/2016 00:00,,13/05/2016 00:00,20/11/2015 00:00,09/05/2016 00:00
17,331,DGOP/CT/057/15,25/11/2015 00:00,,DGOP/CT/057/15,07/03/2016 00:00,,09/03/2016 00:00,25/11/2015 00:00,07/03/2016 00:00
18,21,S/N,22/12/2014 00:00,,SN,04/04/2016 00:00,,27/03/2016 00:00,22/12/2014 00:00,04/04/2016 00:00
19,225,DGOP/CT/063/15,15/12/2015 00:00,,DGOP/CT/063/15,11/04/2016 00:00,,29/06/2016 00:00,15/12/2015 00:00,11/04/2016 00:00
20,226,DGOP/CT/014/15,29/05/2015 00:00,,DGOP/CT/014/15,16/05/2016 00:00,,24/05/2016 00:00,29/05/2015 00:00,16/05/2016 00:00
21,139,DGOP/CT/028/15,21/08/2015 00:00,,DGOP/CT/028/15,04/05/2016 00:00,,07/05/2016 00:00,21/08/2015 00:00,04/05/2016 00:00
23,197,DGOP/CT/036/15,28/09/2015 00:00,,DGOP/CT/036/15,19/09/2016 00:00,,21/09/2016 00:00,28/09/2015 00:00,19/09/2016 00:00
24,139,DGOP/CT/047/16,05/11/2016 00:00,no se puede continuar con las actividades de protección mecánica del poliducto de hidrocarburo hasta no tener el resultado del estudio emitido por la fuente oficial PEMEX,DGOP/CT/047/16,13/09/2016 00:00,,14/10/2016 00:00,05/11/2016 00:00,21/09/2016 00:00
25,27,SIN NUMERO,08/02/2016 00:00,NO SE HA OBTENIDO EL RESOLUTIVO POR PARTE DE SEMARNAT Y POR CONSECUENCIA LOS PERMISOS CON LA CONAGUA,DGOP/ML/PROY/1402/2017,27/07/2017 00:00,EL 27 DE JULIO  SE NOTIFICA LA RESOLUCIÓN AMBIENTAL,04/08/2017 00:00,08/02/2016 00:00,27/07/2017 00:00
26,7,DGOP/CT/009/14,27/01/2014 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/009/14,24/01/2017 00:00,SE TRAMITA Y SE ENVÍA PARA SU CONTROL Y ARCHIVO,02/04/2017 00:00,10/02/2014 00:00,24/01/2017 00:00
27,147,DGOP/CT/053/15,19/11/2015 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/053/15,13/06/2016 00:00,"SE TRAMITA Y SE ENVÍA PARA SU CONTROL ARCHIVO, REINICIO Y PRORROGA",31/07/2016 00:00,19/11/2015 00:00,20/06/2016 00:00
28,336,SIN NUMERO,01/12/2015 00:00,DEBIDO A QUE LA FECHA SE CONTINÚA CON LA REVISIÓN CON SAPAL. YA QUE CONTEMPLA LA OPERACIÓN DEL PROYECTO DE MANERA INTEGRAL,DGOP/ML/1638/2017,01/08/2017 00:00,SE CONCLUYE AUTORIZACIÓN POR PARTE DE SAPAL,23/08/2017 00:00,01/12/2015 00:00,01/08/2017 00:00
29,7,DGOP/CT/045/17,21/06/2017 00:00,2DA SUSPENSION SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,DGOP/CT/045/17,14/08/2017 00:00,SE ENVÍA A ADMINISTRATIVO PARA SU CONTROL Y ARCHIVO,10/11/2017 00:00,21/06/2017 00:00,14/08/2017 00:00
