Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe,Id_Contrato_Ampliacion
0000000001,0000000001,1,"EQUIPO DE TELEGESTION EN EQUIPOS DE AHORRADORES DE ENERGIA, DEL MUNICIPIO DE LEON, GTO.",2257000.00,
0000000002,0000000002,1,PRELIMINARES REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,56808.68,
0000000003,0000000002,2,RELLENOS Y ACARREOS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,265128.65,
0000000004,0000000002,3,SUMINISTROS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,119475.52,
0000000005,0000000002,4,MANO DE OBRA REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,71876.28,
0000000006,0000000002,5,LIMPIEZA REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,949.74,
0000000007,0000000002,6,PRELIMINARES REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,28209.92,
0000000008,0000000002,7,RELLENOS Y ACARREOS REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,158995.52,
0000000009,0000000002,8,SUMINISTROS REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,52765.68,
0000000010,0000000002,9,MANO DE OBRA REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,35354.88,
0000000011,0000000002,10,LIMPIEZA REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,1058.75,
0000000012,0000000002,11,PRELIMINARES ARROYO Y GUARNICIONES.,90644.34,
0000000013,0000000002,12,ACARREOS EN CAMION ARROYO Y GUARNICIONES.,291756.24,
0000000014,0000000002,13,BASES Y SUB-BASES ARROYO Y GUARNICIONES.,411180.65,
0000000015,0000000002,14,PAVIMENTOS ASFALTICOS ARROYO Y GUARNICIONES.,74727.07,
0000000016,0000000002,15,PAVIMENTOS DE CONCRETO ARROYO Y GUARNICIONES.,322978.66,
0000000017,0000000002,16,DRENAJE SANITARIO Y AGUA POTABLE ARROYO Y GUARNICIONES.,38191.68,
0000000018,0000000002,17,SEÑALAMIENTO DE OBRA ARROYO Y GUARNICIONES.,29061.04,
0000000019,0000000002,18,PRELIMINARES BANQUETAS.,56097.17,
0000000020,0000000002,19,ACARREO EN CAMION BANQUETAS.,28094.81,
0000000021,0000000002,20,BASES BANQUETAS.,34754.31,
0000000022,0000000002,21,PAVIMENTOS BANQUETAS.,160948.61,
0000000023,0000000002,22,LIMPIEZA DE OBRA,2572.36,
0000000024,0000000002,23,FUERA DE CATALOGO,0.00,
0000000025,0000000003,1,PRELIMINARES REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO,1264.51,
0000000026,0000000003,2,PRELIMINARES REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE.,21269.06,
0000000027,0000000003,3,ACARREOS EN CAMION REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE.,20191.17,
0000000028,0000000003,4,RELLENOS REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE.,62907.08,
0000000029,0000000003,5,SUMINISTROS E INSTALACIONES REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE.,94589.09,
0000000030,0000000003,6,CAJAS DE VALVULAS REPOSICION Y/O REHABILITACION DE LINEA DE AGUA POTABLE.,18823.74,
0000000031,0000000003,7,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,18918.29,
0000000032,0000000003,8,ACARREOS EN CAMION REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,28931.32,
0000000033,0000000003,9,RELLENOS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,137569.21,
0000000034,0000000003,10,SUMINISTROS E INSTALACIONES REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,119952.02,
0000000035,0000000003,11,LIMPIEZAS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,1921.25,
0000000036,0000000003,12,PRELIMINARES Y TRABAJOS COMPLEMENTARIAS REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,13581.56,
0000000037,0000000003,13,ACARREOS EN CAMION REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,21747.18,
0000000038,0000000003,14,RELLENOS REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,65764.21,
0000000039,0000000003,15,SUMINISTROS E INSTALACIONES REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,70001.20,
0000000040,0000000003,16,LIMPIEZAS REPOSICION Y/O REHABILITACION DE LINEA DE DESCARGAS DOMICILIARIAS.,1344.00,
0000000041,0000000003,17,PRELIMINARES Y TRABAJOS COMPLEMENTARIOS ARROYO Y GUARNICIONES.,127846.08,
0000000042,0000000003,18,ACARREOS EN CAMION ARROYO Y GUARNICIONES.,118453.51,
0000000043,0000000003,19,BASES Y SUB-BASES ARROYO Y GUARNICIONES.,156894.28,
0000000044,0000000003,20,PAVIMENTOS HIDRAULICOS ARROYO Y GUARNICIONES.,289038.94,
0000000045,0000000003,21,PAVIMENTOS ASFALTICOS ARROYO Y GUARNICIONES.,40105.39,
0000000046,0000000003,22,LIMPIEZAS ARROYO Y GUARNICIONES.,7307.33,
0000000047,0000000003,23,PRELIMINARES Y OBRAS COMPLEMENTARIAS BANQUETAS.,10496.93,
0000000048,0000000003,24,ACARREOS EN CAMION BANQUETAS.,8581.28,
0000000049,0000000003,25,BASES Y SUB BASES BANQUETAS.,3680.37,
0000000050,0000000003,26,PAVIMENTOS BANQUETAS.,98779.59,
0000000051,0000000003,27,ESCALONES BANQUETAS.,2219.80,
0000000052,0000000003,28,LIMPIEZAS BANQUETAS.,2396.52,
0000000053,0000000003,29,SEÑALAMIENTO DE PROTECCION DE OBRA.,25541.89,
0000000054,0000000003,30,FUERA DE CATALOGO,0.00,
0000000055,0000000004,1,PREILIMINARES Y TRABAJOS COMPLEMENTARIOS REPOSICION Y/O REHABILITACION DE LINEA DE DRENAJE SANITARIO.,15656.89,
