Id_Prorroga,Id_Contrato,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
10,10,19,20/04/2012 00:00,35.19,,S/N,02/04/2012 00:00,S/N,03/04/2012 00:00,,31/03/2012 00:00
18,50,52,12/05/2012 00:00,346.67,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,19/03/2012 00:00,S/N PRORROGA 1,26/03/2012 00:00,,20/03/2012 00:00
19,46,6,13/06/2012 00:00,7.32,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,19/04/2012 00:00,S/N PRORROGA 1,27/04/2012 00:00,,06/06/2012 00:00
20,29,13,31/03/2012 00:00,68.42,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,16/03/2012 00:00,S/N PRORROGA 1,23/03/2012 00:00,,17/03/2012 00:00
21,3,13,22/06/2012 00:00,10.57,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,26/03/2012 00:00,S/N PRORROGA 1,04/04/2012 00:00,,08/06/2012 00:00
25,35,47,18/05/2012 00:00,180.77,,S/N,27/03/2012 00:00,S/N PRORROGA,15/05/2012 00:00,,31/03/2012 00:00
27,63,20,28/04/2012 00:00,76.92,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,04/04/2012 00:00,S/N PRORROGA 1,11/04/2012 00:00,,07/04/2012 00:00
28,72,27,02/06/2012 00:00,67.5,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,03/05/2012 00:00,S/N PRORROGA 1,11/05/2012 00:00,,05/05/2012 00:00
30,59,28,17/06/2012 00:00,41.18,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,16/05/2012 00:00,S/N PRORROGA 12,22/05/2012 00:00,,19/05/2012 00:00
31,70,34,12/05/2012 00:00,130.77,,S/N PRORRO,11/04/2012 00:00,S/N PRORROGA,11/04/2012 00:00,,07/04/2012 00:00
37,55,9,10/06/2012 00:00,12.33,,S/N,31/05/2012 00:00,S/N 1,31/05/2012 00:00,,31/05/2012 00:00
39,95,27,30/06/2012 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,30/05/2012 00:00,S/N PRORROGA 1,31/05/2012 00:00,,02/06/2012 00:00
40,72,11,14/06/2012 00:00,27.5,SE ANEXA FDOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,01/06/2012 00:00,S/N PRORROGA 2,01/06/2012 00:00,,02/06/2012 00:00
41,205,27,28/07/2012 00:00,103.85,,S/N,28/06/2012 00:00,S/N PRORROGA,29/06/2012 00:00,,30/06/2012 00:00
42,60,31,25/07/2012 00:00,34.83,,PRORROGA U,21/06/2012 00:00,PRORROGA UNO,21/06/2012 00:00,,23/06/2012 00:00
44,61,13,30/06/2012 00:00,15.85,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,07/06/2012 00:00,S/N PRORROGA 1,14/06/2012 00:00,,16/06/2012 00:00
49,115,49,12/08/2012 00:00,90.74,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,21/06/2012 00:00,S/N PRORROGA 1,22/06/2012 00:00,,23/06/2012 00:00
55,81,13,19/07/2012 00:00,15.85,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,03/07/2012 00:00,S/N PRORROGA  1,05/07/2012 00:00,,05/07/2012 00:00
56,65,55,02/06/2012 00:00,211.54,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,02/04/2012 00:00,S/N PRORROGA 1,06/04/2012 00:00,,07/04/2012 00:00
57,54,41,21/07/2012 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,18/06/2012 00:00,S/N PRORROGA 1,25/06/2012 00:00,,09/06/2012 00:00
58,137,28,05/08/2012 00:00,51.85,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,12/06/2012 00:00,S/N PRORROGA 1,28/06/2012 00:00,,07/07/2012 00:00
59,57,58,24/07/2012 00:00,70.73,SE ANEXA DOC. A EXPEDINETE UNITARIO CAP. TEO.,S/N,24/05/2012 00:00,S/N PRORROGA 1,25/05/2012 00:00,,26/05/2012 00:00
63,81,11,31/07/2012 00:00,13.41,,S/N PRORRO,19/07/2012 00:00,S/N PRORROGA 2,19/07/2012 00:00,,19/07/2012 00:00
64,126,19,15/06/2012 00:00,57.58,,S/N,20/05/2012 00:00,S/N,21/05/2012 00:00,,26/05/2012 00:00
65,10,55,15/06/2012 00:00,101.85,,S/N,10/04/2012 00:00,S/N 2DA PRORROG,16/04/2012 00:00,,20/04/2012 00:00
72,88,8,09/07/2012 00:00,9.76,,S/N,29/06/2012 00:00,DGOP/SUP/PR/018,29/06/2012 00:00,,30/06/2012 00:00
73,60,20,15/08/2012 00:00,22.47,,S/N PRORRO,21/06/2012 00:00,S/N PRORROGA 2,21/06/2012 00:00,,25/07/2012 00:00
76,185,27,18/08/2012 00:00,57.45,,S/N PRIMER,20/07/2012 00:00,S/N PRIMER PROR,20/07/2012 00:00,,21/07/2012 00:00
78,71,76,14/08/2012 00:00,124.59,,S/N,23/05/2012 00:00,S/N,24/05/2012 00:00,,29/05/2012 00:00
79,69,10,27/06/2012 00:00,12.2,,S/N,11/06/2012 00:00,S/N,11/06/2012 00:00,,16/06/2012 00:00
80,120,9,21/07/2012 00:00,13.24,,S/N,09/07/2012 00:00,DGOP/SUP/PR/026,09/07/2012 00:00,,11/07/2012 00:00
81,114,13,04/08/2012 00:00,15.85,,S/N PRORRO,20/07/2012 00:00,S/N PRORROGA 1,20/07/2012 00:00,,21/07/2012 00:00
83,177,20,10/09/2012 00:00,24.39,,S/N PRORRO,03/08/2012 00:00,S/N PRORROGA 1,03/08/2012 00:00,,20/08/2012 00:00
84,81,10,11/08/2012 00:00,12.2,,S/N PRORRO,31/07/2012 00:00,S/N PRORROGA 3,31/07/2012 00:00,,31/07/2012 00:00
85,6,30,18/08/2012 00:00,19.87,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,16/07/2012 00:00,S/N PRORROGA 1,18/07/2012 00:00,,18/07/2012 00:00
86,191,20,08/09/2012 00:00,26.67,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP TEO.,S/N,09/07/2012 00:00,S/N PRORROGA 1,13/07/2012 00:00,,18/08/2012 00:00
87,20,52,11/07/2012 00:00,63.41,SE ANEXA DOC A EXPEDIENTE UNITARIO CAP. TEO,S/N,25/06/2012 00:00,S/N PRORROGA 1,28/06/2012 00:00,,19/05/2012 00:00
88,121,40,17/08/2012 00:00,58.82,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,04/07/2012 00:00,S/N PRORROGA 1,06/07/2012 00:00,,07/07/2012 00:00
89,202,28,08/09/2012 00:00,46.67,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,17/07/2012 00:00,S/N PRORROGA 1,19/07/2012 00:00,,10/08/2012 00:00
90,202,-1,08/09/2012 00:00,-1.67,,S/N,19/07/2012 00:00,S/N,19/07/2012 00:00,,08/09/2012 00:00
92,145,49,19/08/2012 00:00,122.5,,S/N,27/07/2012 00:00,DGOP/SUP/PR/040,27/07/2012 00:00,,30/06/2012 00:00
94,93,15,05/09/2012 00:00,12.2,,S/N,20/08/2012 00:00,DGOP/SUP/PR/046,20/08/2012 00:00,,20/08/2012 00:00
95,173,62,20/10/2012 00:00,75.61,,S/N,17/08/2012 00:00,DGOP/SUP/PR/018,17/08/2012 00:00,,18/08/2012 00:00
96,74,23,27/08/2012 00:00,18.7,,S/N PRORRO,03/08/2012 00:00,S/N PRORROGA 1,03/08/2012 00:00,,03/08/2012 00:00
97,60,5,21/08/2012 00:00,5.62,,S/N PRORRO,15/08/2012 00:00,S/N PRORROGA 3,15/08/2012 00:00,,15/08/2012 00:00
99,226,41,06/10/2012 00:00,67.21,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,22/08/2012 00:00,S/N PRORROGA 1,24/08/2012 00:00,,25/08/2012 00:00
100,128,8,10/09/2012 00:00,7.27,,S/N,27/08/2012 00:00,S/N PRORROGA,28/08/2012 00:00,,01/09/2012 00:00
101,232,18,13/09/2012 00:00,29.51,,S/N PRORRO,03/09/2012 00:00,S/N PRORROGA 1,03/09/2012 00:00,,25/08/2012 00:00
102,203,30,24/09/2012 00:00,40.54,,S/N,21/08/2012 00:00,DGOP/SUP/PR/049,21/08/2012 00:00,,24/08/2012 00:00
103,170,9,24/07/2012 00:00,16.67,,S/N,04/07/2012 00:00,S/N PRORROGA,05/07/2012 00:00,,14/07/2012 00:00
104,229,8,01/10/2012 00:00,9.76,,S/N,23/08/2012 00:00,DGOP/SUP/PR/058,24/08/2012 00:00,,22/09/2012 00:00
106,198,32,29/11/2012 00:00,23.19,,S/N,26/09/2012 00:00,S/N PRORROGA,27/09/2012 00:00,,27/10/2012 00:00
108,222,27,22/09/2012 00:00,44.26,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,24/08/2012 00:00,S/N PRORROGA 1,24/08/2012 00:00,,25/08/2012 00:00
109,184,21,17/09/2012 00:00,25.61,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,02/08/2012 00:00,S/N PRORROGA 1,14/08/2012 00:00,,26/08/2012 00:00
110,184,20,08/10/2012 00:00,24.39,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,11/09/2012 00:00,S/N PRORROGA 2,11/09/2012 00:00,,17/09/2012 00:00
111,231,20,15/09/2012 00:00,32.79,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,21/08/2012 00:00,S/N PRORROGA,07/09/2012 00:00,,25/08/2012 00:00
112,231,20,06/10/2012 00:00,32.79,SE ANEXA DOC . A EXPEDIENTE UNITARIO CAP TEO,S/N,09/09/2012 00:00,S/N PRORROGA 2,14/09/2012 00:00,,15/09/2012 00:00
113,143,14,29/09/2012 00:00,11.38,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,11/09/2012 00:00,S/N PRORROGA 1,13/09/2012 00:00,,14/09/2012 00:00
115,264,25,18/10/2012 00:00,30.49,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,07/09/2012 00:00,S/N PRORROGA 1,07/09/2012 00:00,,22/09/2012 00:00
116,202,20,29/09/2012 00:00,33.33,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,05/09/2012 00:00,S/NPRORROGA 2,05/09/2012 00:00,,08/09/2012 00:00
