Id_Recurso_Proyecto,Id_Unidad_Responsable,Clave,Id_Aportacion,Nombre
10,8,604,5,TECHO DIGNO
76,19,838,2,RESCATE DE ESPACIOS (EDO)
36,2,827,2,"REHABILITACION DEL BLVD TORRES LANDA, SEGUNDA ETAP"
86,2,377,1,PUENTE PEATONAL
74,8,6008,5,CUARTO ADIC
7,2,325,1,MANTENIMIENTO VIAL
29,2,314,1,PROGRAMA DE ALUMBRADO PUBLICO
91,6,333,1,PROY AREA NAT PROT ARR HONDO
53,1,939,3,SEDESHU
69,8,605,5,RAMO 33-I
96,10,355,1,DEPORTE
46,1,935,2,SEDESHU
50,1,940,3,SEDESHU
73,1,934,3,FEDERAL
93,2,313,1,MUNICIPAL
98,10,810,2,COMISIÓN DEL DEPORTE (CODE-EDO)
25,9,823,2,CONSTRUCCION DE CICLOVIA BLVD. VICENTE VALTIERRA
3,3,366,1,MUNICIPAL
32,10,829,2,REHABILITACION DE ESPACIO PUBLICO DESARROLLO EL PO
99,14,350,1,MUNICIPAL 
45,1,936,2,SEDESHU
12,10,926,3,FORTALECE 2016 (PARQUES DE LA SALUD)
20,2,311,1,AMPLIACIONES Y ESCALATORIAS
59,15,924,3,EDUCACIÓN Y CULTURA (FEDERAL)
39,10,372,1,REHAB ESPACIOS PÚBLICOS  (ITS PROG TEJIDO SOCIAL)
8,5,326,1,MANTENIMIENTO A ESCULTURAS Y MONUMENTOS HISTORICOS
13,2,312,1,OBRA INSTITUCIONAL
57,2,902,3,SEDESHU
19,1,929,3,FORTALECE ( PAVIMENTACION EN BALCONES DE LA JOYA
49,1,932,3,SEDESHU
44,2,945,3,FEDERAL
24,9,822,2,CONSTRUCCION DE CICLOVIA BLVD. ANTONIO MADRAZO
88,13,300,1,MUNICIPAL
97,8,360,1,CALENTADORES MUNICIPAL
11,9,321,1,PROYECTO DE AMPLIACION DE TRANSPORTE DE LEON
28,7,6007,2,PROGRAMA DE INFRAESTRUCTURA Y SERVICIOS BASICOS
84,2,351,1,MUNICIPAL COM. L BLANCO Y OTATES
89,7,6011,5,RAMO 33-I
60,15,930,3,INST CULTURAL (FORTALECE) FED
82,2,380,1,MUNICIPAL
90,2,337,1,MUNICIPAL
9,6,702,9,PROGRAMA DE AREAS VERDES Y ESPACIOS NATURALES
31,10,828,2,REHABILITACION DE ESPACIO PUBLICO VALLE DE SAN JOS
95,7,360,1,CALENTADORES
26,2,826,2,CONSTRUCCION DEL BLVD. ARISTOTELES
14,10,925,3,FORTALECE 2016
61,16,379,1,SEÑALIZACIÓN
23,7,825,2,REVESTIMIENTO DE CAMINOS
72,18,0,11,MIGRANTES 3X1
22,8,821,2,PROGRAMA IMPULSO AL DESARROLLO DEL LUGAR
4,4,316,1,MEJORAMIENTO SERVICIO PUBLICO DE PANTEONES
77,8,603,5,CUARTO ADIC
16,9,928,3,CICLOVIA EN BLVD. VICENTE VALTIERRA (PRIMERA ETAPA
38,12,800,2,"PROG FORTALECIMIENTO A CENTROS ABASTO SOCIAL ""MI PLAZA"""
66,2,948,3,SEDESHU
15,9,927,3,FORTALECE CICLOVIA JUAREZ NORTE
67,17,366,1,MUNICIPAL
52,1,937,3,SEDESHU
100,11,304,1,MUNICIPAL 
83,2,837,2,ESTATAL
42,9,943,3,FORTAFIN B
2,2,315,1,MUNICIPAL
35,12,324,1,MANTENIMIENTO PREVENTIVO DE MERCADO
51,1,938,3,SEDESHU
81,8,942,3,FEDERAL
92,8,635,5,RAMO 33-I (CALENTADORES)
75,7,6008,5,CUARTO ADIC
85,7,6006,5,RAMO 33-I
40,8,947,11,PROG 3X1 MIGRANTES
17,11,606,5,PROGRAMA DE ESPACIOS EDUCATIVOS DIGNOS
21,2,900,3,FEDERAL
27,9,369,1,SEGURIDAD EN TRANSPORTE PUBLICO
63,12,330,1,REHAB MERCADOS
70,8,304,1,MUNICIPAL (BENEFICIARIOS)
30,5,301,1,OBRAS Y MANTENIMIENTO DEL CENTRO HISTORICO
48,14,341,1,MODERNIZATE
62,13,303,2,GOB EDO CONVENIO A TRAVÉS SEC TURISMO
6,1,612,5,PAVIMENTACIONES ITS
43,12,6120,2,MERCADOS
55,10,832,2,INFRAESTRUCTURA DEPORTIVA CODE
54,1,933,3,SEDESHU
80,6,700,9,RAMO 33-II
64,11,836,2,EDIFICACIÓN EN ESCUELAS
78,13,949,3,FEDERAL
37,5,339,1,MUNICIPAL
47,13,941,3,FEDERAL
33,10,830,2,REHABILITACION DE ESPACIO PUBLICO SAN FELIPE DE JE
94,7,601,1,CONECTIVIDAD COMUNIDADES RURALES
68,7,835,2,"ESTATAL, PAV."
65,7,332,1,REHABILITACIÓN DE CAMINOS
71,8,834,2,ESTATAL 3X1
87,7,6009,5,PISO FIRME
41,10,833,2,INFRAESTRUCTURA DEPORTIVA CODE
79,10,381,1,MUNICIPAL
58,6,931,3,SEDESHU
56,10,300,1,MUNICIPAL
34,9,824,2,CONST. DE CICLOVIA BLVD. LA LUZ DE BLVD JOSE MARIA
18,9,310,1,CONSOLIDACION DEL SISTEMA INTEGRADO DE TRANSPORTE
5,1,818,2,PAV CALLES ITS ESTATAL
