Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,16,1,ANTICIPO,29/03/2016 00:00,11,18/03/2016 00:00,05/07/2016 00:00,SN        ,28/03/2016 00:00,DG/RCA/015/2016,29/03/2016 00:00,,07/03/2016 00:00,24/06/2016 00:00
2,17,1,ANTICIPO,19/04/2016 00:00,28,11/04/2016 00:00,04/06/2016 00:00,SN        ,18/04/2016 00:00,DG/RCA/020/2016,19/04/2016 00:00,,14/03/2016 00:00,07/05/2016 00:00
6,18,1,ANTICIPO,19/04/2016 00:00,28,11/04/2016 00:00,04/06/2016 00:00,S/N       ,18/04/2016 00:00,DG/RCA/020/2016,19/04/2016 00:00,,14/03/2016 00:00,07/05/2016 00:00
7,33,1,ANTICIPO,06/06/2016 00:00,5,28/05/2016 00:00,18/08/2016 00:00,SN        ,03/06/2016 00:00,DG/RCA/021/2016,06/06/2016 00:00,,23/05/2016 00:00,13/08/2016 00:00
8,34,1,ANTICIPO,06/06/2016 00:00,5,28/05/2016 00:00,18/08/2016 00:00,SN        ,03/06/2016 00:00,DG/RCA/022/2016,06/06/2016 00:00,,23/05/2016 00:00,13/08/2016 00:00
12,64,1,ANTICIPO,29/06/2016 00:00,3,23/06/2016 00:00,19/09/2016 00:00,SN        ,27/06/2016 00:00,DG/RCA/023/2016,29/06/2016 00:00,,20/06/2016 00:00,16/09/2016 00:00
13,62,1,ANTICIPO,01/07/2016 00:00,3,23/06/2016 00:00,17/11/2016 00:00,SN        ,30/06/2016 00:00,DG/RCA/024/2016,01/07/2016 00:00,,20/06/2016 00:00,14/11/2016 00:00
14,28,1,SITIO,06/06/2016 00:00,9,01/06/2016 00:00,22/08/2016 00:00,S/N RECALE,06/06/2016 00:00,REC/014/16     ,06/06/2016 00:00,SE ANEXA AUTORIZACION DE CONVENIO DE RECALENDARIZACION DE SITIO CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE RECALENDARIZACION POR SITIO EN EL EXPEDIENTE UNITARIO,23/05/2016 00:00,13/08/2016 00:00
15,25,1,SITIO,13/06/2016 00:00,16,08/06/2016 00:00,29/08/2016 00:00,S/N RECAL ,13/06/2016 00:00,REC/018/16     ,13/06/2016 00:00,SE ANEXA AUTORIZACION DE CONVENIO DE RECAL DE SITIO CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOL DE RECAL EN EL EXPEDIENTE UNITARIO,23/05/2016 00:00,13/08/2016 00:00
18,82,1,SITIO,08/08/2016 00:00,22,26/07/2016 00:00,30/11/2016 00:00,S/N RECAL ,01/08/2016 00:00,REC/027/16     ,08/08/2016 00:00,SE AUTORIZA RECALENDARIZACION DE SITIO EN CONVENIO ORIGINAL CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,04/07/2016 00:00,08/11/2016 00:00
19,85,1,SITIO,29/07/2016 00:00,14,18/07/2016 00:00,30/09/2016 00:00,S/N RECALE,22/07/2016 00:00,REC/024/16     ,29/07/2016 00:00,SE ANEXA AUTORIZACION DE CONVENIO DE RECALENDARIZACION DE SITIO CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,04/07/2016 00:00,16/09/2016 00:00
20,91,1,SITIO,10/08/2016 00:00,14,01/08/2016 00:00,04/11/2016 00:00,S/N RECALE,04/08/2015 00:00,REC/030/2016   ,10/08/2016 00:00,SE ANEXA AUTORIZACION DE CONVENIO DE RECALENDARIZACION DE SITIO CON DOCUMENTACION ORIGINAL ADJUNTA A LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,18/07/2016 00:00,21/10/2016 00:00
23,101,1,ANTICIPO,19/08/2016 00:00,15,09/08/2016 00:00,14/01/2017 00:00,S/N RECAL ,16/08/2016 00:00,REC/033/16     ,19/08/2016 00:00,SE ANEXA AUTORIZACION ORIGINAL DE CONVENIO DE RECALEND CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,25/07/2016 00:00,30/12/2016 00:00
25,143,1,ANTICIPO,07/09/2016 00:00,8,23/08/2016 00:00,10/12/2016 00:00,SN        ,31/08/2016 00:00,DGOP/RCA/037/16,07/09/2016 00:00,,15/08/2016 00:00,02/12/2016 00:00
26,144,1,ANTICIPO,07/09/2016 00:00,8,23/08/2016 00:00,10/12/2016 00:00,SN        ,31/08/2016 00:00,DG/RCA/037/16  ,07/09/2016 00:00,,15/08/2016 00:00,02/12/2016 00:00
27,145,1,ANTICIPO,07/09/2016 00:00,8,23/08/2016 00:00,10/12/2016 00:00,SN        ,31/08/2016 00:00,DG/RCA/037/16  ,07/09/2016 00:00,,15/08/2016 00:00,02/12/2016 00:00
28,146,1,ANTICIPO,29/08/2016 00:00,14,29/08/2016 00:00,09/12/2016 00:00,SN        ,01/09/2016 00:00,DGOP/RCA/036/16,07/09/2016 00:00,RECALEND POR ANTICIPO,15/08/2016 00:00,25/11/2016 00:00
29,147,1,ANTICIPO,29/08/2016 00:00,14,29/08/2016 00:00,09/12/2016 00:00,SN        ,01/09/2016 00:00,DGOP/RCA/036/16,07/09/2016 00:00,RECALENDARIZACION POR ANTICIPO,15/08/2016 00:00,25/11/2016 00:00
30,118,1,ANTICIPO,07/09/2016 00:00,18,19/08/2016 00:00,09/11/2016 00:00,SN        ,24/08/2016 00:00,DG/RCA/039/16  ,07/09/2016 00:00,,01/08/2016 00:00,22/10/2016 00:00
31,119,1,ANTICIPO,26/08/2016 00:00,15,16/08/2016 00:00,06/11/2016 00:00,S/N       ,26/08/2016 00:00,DGOP/RCA/028/16,26/08/2016 00:00,,01/08/2016 00:00,22/10/2016 00:00
32,100,1,ANTICIPO,08/08/2016 00:00,8,02/08/2016 00:00,08/10/2016 00:00,S/N       ,08/08/2016 00:00,DG/RCA/026/2016,08/08/2016 00:00,,25/07/2016 00:00,30/09/2016 00:00
