Id_Prorroga,Id_Contrato,Dias_Recorrer,Fecha_Nueva,Porcentaje,Justificacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Termino_Ultima_Anterior
13,3,6,15/05/2010 00:00,8.82,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,05/05/2010 00:00,S/N PRORROGA 1,12/05/2010 00:00,,08/05/2010 00:00
14,21,34,12/06/2010 00:00,50,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,03/05/2010 00:00,S/N PRORROGA  1,13/05/2010 00:00,,08/05/2010 00:00
17,5,21,13/06/2010 00:00,30.88,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,21/05/2010 00:00,S/N PRORROGA 1,27/05/2010 00:00,,22/05/2010 00:00
23,17,27,03/07/2010 00:00,30.34,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,02/06/2010 00:00,S/N PRORROGA 1,08/06/2010 00:00,,05/06/2010 00:00
34,20,16,09/07/2010 00:00,17.98,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO.,S/N,25/05/2010 00:00,S/N PRORROGA 1,15/06/2010 00:00,,22/06/2010 00:00
39,18,17,15/07/2010 00:00,16.5,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,24/06/2010 00:00,S/N PRORROGA 1,02/07/2010 00:00,,27/06/2010 00:00
40,17,11,15/07/2010 00:00,12.36,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,25/06/2010 00:00,S/N PRORROGA 2,02/07/2010 00:00,,03/07/2010 00:00
43,133,14,25/07/2010 00:00,46.67,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,08/07/2010 00:00,S/N PRORROGA 1,16/07/2010 00:00,,10/07/2010 00:00
44,150,14,25/07/2010 00:00,46.67,SE ANEXA DOC. A EXPEDIENTE UNITARIO CAP. TEO,S/N,08/07/2010 00:00,S/N PRORROGA 1,16/07/2010 00:00,,10/07/2010 00:00
47,51,30,03/08/2010 00:00,36.59,,S/N,24/06/2010 00:00,S/N,24/06/2010 00:00,,03/07/2010 00:00
