Id_Capitulo,Id_Presupuesto,Clave,Descripcion,Importe,Id_Contrato_Ampliacion
0000000001,0000000001,1,TOPOGRAFIA C. MATILDE MONTOYA.,8987.32,
0000000002,0000000001,2,TRAMITES C. MATILDE MONTOYA.,979.20,
0000000003,0000000001,3,SONDEOS C. MATILDE MONTOYA.,3772.50,
0000000004,0000000001,4,ANTEPROYECTO C. MATILDE MONTOYA.,11180.51,
0000000005,0000000001,5,PROYECTO C. MATILDE MONTOYA.,13176.00,
0000000006,0000000001,6,ENTREGA C. MATILDE MONTOYA.,8584.58,
0000000007,0000000001,7,MECANICA DE SUELOS C. MATILDE MONTOYA.,16421.23,
0000000008,0000000001,8,TOPOGRAFIA C. ESPERANZA IRIS.,8157.44,
0000000009,0000000001,9,TRAMITES C. ESPERANZA IRIS.,979.20,
0000000010,0000000001,10,SONDEOS C. ESPERANZA IRIS.,3772.50,
0000000011,0000000001,11,ANTEPROYECTO C. ESPERANZA IRIS.,11180.51,
0000000012,0000000001,12,PROYECTO C. ESPERANZA IRIS.,13176.00,
0000000013,0000000001,13,ENTREGA C. ESPERANZA IRIS.,8450.95,
0000000014,0000000001,14,MECANICA DE SUELOS C. ESPERANZA IRIS.,16421.23,
0000000015,0000000002,1,TOPOGRAFIA C. 14 DE MAYO.,22196.97,
0000000016,0000000002,2,TRAMITES C. 14 DE MAYO.,979.20,
0000000017,0000000002,3,SONDEOS C. 14 DE MAYO.,3772.50,
0000000018,0000000002,4,ANTEPROYECTO C. 14 DE MAYO.,19653.11,
0000000019,0000000002,5,PROYECTO C. 14 DE MAYO.,28393.01,
0000000020,0000000002,6,ENTREGA C. 14 DE MAYO.,13826.63,
0000000021,0000000002,7,MECANICA DE SUELOS C. 14 DE MAYO.,20215.89,
0000000022,0000000003,1,TOPOGRAFIA C. BARODA.,12380.59,
0000000023,0000000003,2,TRAMITES C. BARODA.,979.20,
0000000024,0000000003,3,SONDEOS C. BARODA.,3772.50,
0000000025,0000000003,4,ANTEPROYECTO C. BARODA.,12965.88,
0000000026,0000000003,5,PROYECTO C. BARODA.,16339.79,
0000000027,0000000003,6,ENTREGA C. BARODA.,9969.90,
0000000028,0000000003,7,MECANICA DE SUELOS C. BARODA.,16421.23,
0000000029,0000000003,8,TOPOGRAFIA C. BIRMANIA.,9568.20,
0000000030,0000000003,9,TRAMITES C. BIRMANIA.,979.20,
0000000031,0000000003,10,SONDEOS C. BIRMANIA.,3772.50,
0000000032,0000000003,11,ANTEPROYECTO C. BIRMANIA.,12632.21,
0000000033,0000000003,12,PROYECTO C. BIRMANIA.,15159.84,
0000000034,0000000003,13,ENTREGA C. BIRMANIA.,9039.54,
0000000035,0000000003,14,MECANICA DE SUELOS C. BIRMANIA.,16421.23,
0000000036,0000000003,15,TOPOGRAFIA C. BISONTE.,12380.59,
0000000037,0000000003,16,TRAMITES C. BISONTE.,979.20,
0000000038,0000000003,17,SONDEOS C. BISONTE.,3772.50,
0000000039,0000000003,18,ANTEPROYECTO C. BISONTE.,12965.88,
0000000040,0000000003,19,PROYECTO C. BISONTE.,16339.79,
0000000041,0000000003,20,ENTREGA C. BISONTE.,9969.90,
0000000042,0000000003,21,MECANICA DE SUELOS C. BISONTE.,16421.23,
0000000043,0000000003,22,TOPOGRAFIA C. CERRO DE LOS MILAGROS.,6884.89,
0000000044,0000000003,23,TRAMITES C. CERRO DE LOS MILAGROS.,979.20,
0000000045,0000000003,24,SONDEOS C. CERRO DE LOS MILAGROS.,3772.50,
0000000046,0000000003,25,ANTEPROYECTO C. CERRO DE LOS MILAGROS.,8742.46,
0000000047,0000000003,26,PROYECTO C. CERRO DE LOS MILAGROS.,10249.75,
0000000048,0000000003,27,ENTREGA C. CERRO DE LOS MILAGROS.,7831.62,
0000000049,0000000003,28,MECANICA DE SUELOS C. CERRO DE LOS MILAGROS.,16421.23,
0000000050,0000000003,29,TOPOGRAFIA C. HUIMILPAN.,8987.32,
0000000051,0000000003,30,TRAMITES C. HUIMILPAN.,979.20,
0000000052,0000000003,31,SONDEOS C. HUIMILPAN.,3772.50,
0000000053,0000000003,32,ANTEPROYECTO C. HUIMILPAN.,11180.51,
0000000054,0000000003,33,PROYECTO C. HUIMILPAN.,13176.00,
0000000055,0000000003,34,ENTREGA C. HUIMILPAN.,8584.58,
0000000056,0000000003,35,MECANICA DE SUELOS C. HUIMILPAN.,16421.23,
0000000057,0000000003,36,TOPOGRAFIA C. PATRONA DE LA MUSICA.,16027.82,
0000000058,0000000003,37,TRAMITES C. PATRONA DE LA MUSICA.,979.20,
0000000059,0000000003,38,SONDEOS C. PATRONA DE LA MUSICA.,3772.50,
0000000060,0000000003,39,ANTEPROYECTO C. PATRONA DE LA MUSICA.,15655.20,
0000000061,0000000003,40,PROYECTO C. PATRONA DE LA MUSICA.,20996.57,
0000000062,0000000003,41,ENTREGA C. PATRONA DE LA MUSICA.,11404.59,
0000000063,0000000003,42,MECANICA DE SUELOS C. PATRONA DE LA MUSICA.,20340.16,
0000000064,0000000003,43,FUERA DE CATALOGO,0.00,
0000000065,0000000004,1,TOPOGRAFIA C. ARTICULO 27.,14374.12,
0000000066,0000000004,2,TRAMITES C. ARTICULO 27.,979.20,
0000000067,0000000004,3,SONDEOS C. ARTICULO 27.,3772.50,
0000000068,0000000004,4,ANTEPROYECTO C. ARTICULO 27.,14110.41,
0000000069,0000000004,5,PROYECTO C. ARTICULO 27.,18281.12,
0000000070,0000000004,6,ENTREGA C. ARTICULO 27.,10666.80,
0000000071,0000000004,7,MECANICA DE SUELOS C. ARTICULO 27.,20340.16,
