Id_Recalendarizacion,Id_Contrato,No_Recalendarizacion,Tipo_Recalendarizacion,Fecha_Deposito,Dias_Recorrer,Fecha_Inicio_Recalendarizacion,Fecha_Termino_Recalendarizacion,Numero_Oficio_Contratista,Fecha_Oficio_Contratista,Numero_Oficio_Autorizacion,Fecha_Oficio_Autorizacion,Observaciones,Fecha_Inicio_Ultima_Anterior,Fecha_Termino_Ultima_Anterior
1,17,1,ANTICIPO,11/03/2010 00:00,14,08/03/2010 00:00,05/06/2010 00:00,S/N RECAL ,11/03/2010 00:00,CT/REC/0001/10 ,11/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,22/02/2010 00:00,22/05/2010 00:00
2,14,1,ANTICIPO,17/03/2010 00:00,9,10/03/2010 00:00,31/05/2010 00:00,S/N RECAL ,10/03/2010 00:00,CT/REC/0002/10 ,17/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITRAIO,01/03/2010 00:00,22/05/2010 00:00
3,5,1,ANTICIPO,19/03/2010 00:00,14,15/03/2010 00:00,22/05/2010 00:00,S/N RECAL ,19/03/2010 00:00,CT/REC/0003/10 ,19/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,01/03/2010 00:00,08/05/2010 00:00
4,18,1,ANTICIPO,22/03/2010 00:00,22,16/03/2010 00:00,27/06/2010 00:00,S/N RECAL ,16/03/2010 00:00,CT/REC/0004/10 ,22/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,22/02/2010 00:00,05/06/2010 00:00
5,9,1,ANTICIPO,22/05/2010 00:00,8,16/03/2010 00:00,11/09/2010 00:00,S/N RECAL ,19/03/2010 00:00,CT/REC/0005/10 ,22/05/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,08/03/2010 00:00,03/09/2010 00:00
6,8,1,ANTICIPO,23/03/2010 00:00,7,22/03/2010 00:00,15/05/2010 00:00,S/N RECAL ,23/03/2010 00:00,CT/REC/0006/10 ,23/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DERECALENDARIZACION EN EL EXPEDIENTE UNITARIO,15/03/2010 00:00,08/05/2010 00:00
7,20,1,ANTICIPO,25/03/2010 00:00,28,22/03/2010 00:00,22/06/2010 00:00,S/N RECAL ,24/03/2010 00:00,CT/REC/0007/10 ,25/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,22/02/2010 00:00,22/05/2010 00:00
8,16,1,ANTICIPO,26/03/2010 00:00,8,23/03/2010 00:00,13/06/2010 00:00,S/N RECAL ,23/03/2010 00:00,CT/REC/0008/10 ,26/03/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,15/03/2010 00:00,05/06/2010 00:00
9,28,1,ANTICIPO,06/04/2010 00:00,42,05/04/2010 00:00,18/09/2010 00:00,S/N RECAL ,07/04/2010 00:00,CT/REC/0070/10 ,06/04/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION  ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,22/02/2010 00:00,07/08/2010 00:00
10,23,1,ANTICIPO,09/04/2010 00:00,21,05/04/2010 00:00,05/06/2010 00:00,S/N RECAL ,09/04/2010 00:00,CT/REC/0072/10 ,09/04/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,15/03/2010 00:00,15/05/2010 00:00
11,53,1,ANTICIPO,22/04/2010 00:00,4,16/04/2010 00:00,19/05/2010 00:00,S/N RECALE,22/04/2010 00:00,CT/REC/0009/10 ,22/04/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,12/04/2010 00:00,15/05/2010 00:00
12,86,1,ANTICIPO,07/05/2010 00:00,7,03/05/2010 00:00,02/11/2010 00:00,S/N RECAL ,04/05/2010 00:00,CT/REC/0010/10 ,07/05/2010 00:00,SE ANEXA COPIA DE AUTORIZACION DE RECALENDARIZACION CON DOCUMENTACION ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIZACION EN EL EXPEDIENTE UNITARIO,26/04/2010 00:00,26/10/2010 00:00
15,75,1,ANTICIPO,14/05/2010 00:00,7,10/05/2010 00:00,28/08/2010 00:00,GD-016.05.,14/05/2010 00:00,CT/REC/011/10  ,14/05/2010 00:00,SE ANEXA COPIA DE AUTORIZACIÓN DE RECALENDARIZACIÓN CON DOCUMENTACIÓN ORIGINAL ADJUNTA DE LA SOLICITUD DE RECALENDARIACIÓN EN EL EXPEDIENTE UNITARIO,03/05/2010 00:00,21/08/2010 00:00
