Id_Contrato,Id_Presupuesto,Numero_Contrato,Nombre_Final,Importe,Porcentaje_Anticipo,Importe_Anticipo,Fecha_Firma_Contrato,Fecha_Inicio,Fecha_Termino,Id_Formato_Contrato,Id_Formato_Caratula,Id_Formato_Hoja_Estimaciones,Observaciones,Estatus,Id_Contratista,Id_Supervisor_Interno,Id_Supervisor_Externo,Id_Fuente_Inversion,Fecha_Adjudicacion,Id_Modalidad,Numero_Licitacion,Id_Oficio_Asignacion_Obra
1,1,B-5051-236-6141-H/0001/2016-1,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: ESTRELLA BOREAL TRAMO: HORIZONTE - LUCERO COL. MIRADOR CAMPESTRE,155648.08,0,0,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,94,,,2,Jan 12 2016 12:00AM,1,,0
2,2,B-5051-236-6141-H/0001/2016-2,"PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: CARACAS TRAMO: BLVD. CUZCO - BAHÍA BLANCA, COL. LA CARMONA.",130581.1,0,0,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,94,,,2,Jan 12 2016 12:00AM,1,,0
3,3,B-5051-236-6141-H/0001/2016-3,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: 2 DE ABRIL TRAMO: HILARIO MEDINA - 8 DE MARZO  COL. REAL DE SAN ANTONIO,123014.16,0,0,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,94,,,2,Jan 12 2016 12:00AM,1,,0
4,9,B-5051-236-6141-H/0004/2016-1,"PROYECTO EJECUTIVO DE LA CALLE: DOGMA CATÓLICO TRAMO: DE LA SAGRADA FAMILIA - RIO DE LOS CASTILLOS, COL. SANTA CECILIA.",155902.46,30,46770.74,Jan 18 2016 12:00AM,Feb  1 2016 12:00AM,Apr 23 2016 12:00AM,1,1,1,,EJECUCION,557,,,2,Jan 18 2016 12:00AM,1,,0
5,10,B-5051-236-6141-H/0004/2016-2,PROYECTO EJECUTIVO DE LA CALLE: PIÑONCILLO  TRAMO: PASEO DE LA PRESA  - RIO DE LOS CASTILLOS COL.. VALLE HERMOSO,156291.43,30,46887.43,Jan 18 2016 12:00AM,Feb  1 2016 12:00AM,Apr 23 2016 12:00AM,1,1,1,,EJECUCION,557,,,2,Jan 18 2016 12:00AM,1,,0
6,11,B-5051-236-6141-H/0004/2016-3,PROYECTO EJECUTIVO DE LA CALLE: PRESA GUADALUPE TRAMO: PASEO DE LA PRESA - RIO DE LOS CASTILLOS COL. RIVERA DE LA PRESA,158430.77,30,47529.23,Jan 18 2016 12:00AM,Feb  1 2016 12:00AM,Apr 23 2016 12:00AM,1,1,1,,EJECUCION,557,,,2,Jan 18 2016 12:00AM,1,,0
7,4,B-5051-236-6141-H/0002/2016-1,"PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: LOMAS DE LA HACIENDA, TRAMO: LOMAS DE LAS BUGAMBILIAS A LOMAS DE LAS DALIAS COL. LOMAS DE MEDINA",109764.26,30,32929.28,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,420,,,2,Jan 12 2016 12:00AM,1,,0
8,5,B-5051-236-6141-H/0002/2016-2,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: LOMAS DE LA HACIENDA TRAMO: LOMAS DE LAS PETUNIAS A LOMAS DE LAS BUGAMBILIAS COL. LOMAS DE MEDINA,109764.26,30,32929.28,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,420,,,2,Jan 12 2016 12:00AM,1,,0
9,6,B-5051-236-6141-H/0002/2016-3,PROYECTO EJECUTIVO DE LA PAVIMENTACIÓN DE LA CALLE: LOMAS DE LA HACIENDA TRAMO: LOMAS DE AGUA BRAVA A LOMAS DE LAS PETUNIAS COL. LOMAS DE MEDINA,109764.26,30,32929.28,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,420,,,2,Jan 12 2016 12:00AM,1,,0
10,7,B-5051-236-6141-H/0003/2016-1,PROYECTO EJECUTIVO DE LA CALLE: CASTILLO DE WINDSOR TRAMO: BLVD. HIDALGO A BLVD. HIDALGO COL. LOMAS DE LOS CASTILLOS.,157675.26,30,47302.58,Jan 12 2016 12:00AM,Jan 25 2016 12:00AM,Mar 19 2016 12:00AM,1,1,1,,EJECUCION,461,,,2,Jan 12 2016 12:00AM,1,,0
